 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.4862828935 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 0.95
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149782.11592156536 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -149613.27510125286, 45817.41796875, -103795.85713250286, 299.72362791756956, 0
2000, -149837.59809929974, 46004.53515625, -103833.06294304974, 300.94769170749083, 15.5
3000, -149757.26704461224, 45997.3359375, -103759.93110711224, 300.90059660572416, 15.5
4000, -149751.26118523724, 45871.72265625, -103879.53852898724, 300.0788726841239, 15.5
5000, -149376.3234410966, 45449.0859375, -103927.23750359661, 297.3141116772656, 15.4
6000, -149238.27192742474, 46165.56640625, -103072.70552117474, 302.00110921982247, 15.4
7000, -149154.67158562786, 45701.703125, -103452.96846062786, 298.96665656671087, 15.3
8000, -148474.02327019817, 45711.203125, -102762.82014519817, 299.0288026803822, 15.3
9000, -148528.7687535966, 45830.9453125, -102697.82344109661, 299.81211969044955, 15.3
10000, -149603.6769567216, 45719.84765625, -103883.82930047161, 299.08535257740317, 15.2
11000, -149559.53266961224, 45591.76953125, -103967.76313836224, 298.2475043968692, 15.2
12000, -149510.4865270341, 45536.0859375, -103974.40058953411, 297.88323924457234, 15.2
13000, -148756.6789098466, 45344.0546875, -103412.62422234661, 296.62702915078654, 15.2
14000, -149548.81098992474, 45252.03515625, -104296.77583367474, 296.0250653350967, 15.2
15000, -148813.1808629716, 45199.984375, -103613.19648797161, 295.68456493843894, 15.2
16000, -149566.9464879716, 45936.578125, -103630.36836297161, 300.5031374560345, 15.2
17000, -149031.8146520341, 45348.64453125, -103683.17012078411, 296.65705451409406, 15.2
18000, -150427.18330437786, 45928.4296875, -104498.75361687786, 300.44983285360087, 15.2
19000, -149745.97139031536, 45498.43359375, -104247.53779656536, 297.6369290514478, 15.2
20000, -149662.82392937786, 45564.5625, -104098.26142937786, 298.06952426458247, 15.1
21000, -149740.3654332841, 45267.2265625, -104473.13887078411, 296.12444289926947, 15.1
22000, -148756.59065301067, 45411.390625, -103345.20002801067, 297.06752039563355, 15.1
23000, -149554.3029332841, 45162.234375, -104392.06855828411, 295.4376159077973, 15.1
24000, -150468.49580437786, 45329.1484375, -105139.34736687786, 296.52951699216396, 15.1
25000, -150185.2480016435, 44608.38671875, -105576.86128289349, 291.8145128128539, 15.1
26000, -149996.37544304974, 45570.4453125, -104425.93013054974, 298.10800783661745, 15.1
27000, -150295.08442742474, 45944.3984375, -104350.68598992474, 300.5542955644104, 15.1
28000, -149871.3300328935, 45760.44140625, -104110.88862664349, 299.3509045565452, 15.1
29000, -149461.35591179974, 45784.76171875, -103676.59419304974, 299.5100006518241, 15.1
30000, -149847.78682000286, 46643.265625, -103204.52119500286, 305.1260723723684, 15.1
31000, -149794.7460485185, 45928.0234375, -103866.72261101849, 300.4471752895294, 15.1
32000, -149077.5724645341, 45171.0390625, -103906.53340203411, 295.49521349834635, 15.1
33000, -149586.1261754716, 46304.1875, -103281.93867547161, 302.90792629871135, 15.1
34000, -149644.51533562786, 45561.91015625, -104082.60517937786, 298.0521734376158, 15.1
35000, -149051.34736687786, 45549.9921875, -103501.35517937786, 297.974209707019, 15.1
36000, -150313.2804723466, 45518.046875, -104795.23359734661, 297.76523317839855, 15.1
37000, -149379.67817742474, 45698.9140625, -103680.76411492474, 298.9484113672201, 15.1
38000, -149379.973587581, 45598.203125, -103781.77046258099, 298.28959101250115, 15.1
39000, -149644.8203893388, 45718.66015625, -103926.1602330888, 299.0775843131943, 15.1
40000, -150584.8527379716, 45099.5390625, -105485.31367547161, 295.0274822217667, 15.1
41000, -150125.0214391435, 45616.55078125, -104508.47065789349, 298.40961580522924, 15.1
42000, -150693.530228206, 44977.84375, -105715.68647820599, 294.2313884613558, 15.1
43000, -150217.24482781536, 45470.265625, -104746.97920281536, 297.45266275799196, 15.1
44000, -150261.85810906536, 45526.18359375, -104735.67451531536, 297.81846112033014, 15.1
45000, -150200.58174187786, 45734.16015625, -104466.42158562786, 299.1789806039213, 15.1
46000, -149681.2304235185, 45860.67578125, -103820.55464226849, 300.0066073841803, 15.1
47000, -149376.97798211224, 45413.08203125, -103963.89595086224, 297.07858506143117, 15.1
48000, -149828.2472692216, 45272.921875, -104555.32539422161, 296.16169990327154, 15.1
49000, -150165.55635125286, 45204.3203125, -104961.23603875286, 295.7129293242018, 15.1
50000, -150008.61201531536, 45290.73046875, -104717.88154656536, 296.27819831290475, 15.1
51000, -149284.479446956, 45397.41796875, -103887.06147820599, 296.9761155236752, 15.1
52000, -149749.83638054974, 45061.41015625, -104688.42622429974, 294.77805450155836, 15.1
53000, -149382.62153679974, 45153.8359375, -104228.78559929974, 295.3826758813196, 15.1
54000, -149748.2167516435, 45405.67578125, -104342.54097039349, 297.03013562412804, 15.1
55000, -150290.55439812786, 45065.1328125, -105225.42158562786, 294.8024069877133, 15.1
56000, -149452.20942742474, 45672.12890625, -103780.08052117474, 298.7731910130076, 15.1
57000, -148975.9816442216, 45477.5859375, -103498.39570672161, 297.5005500182799, 15.1
58000, -149743.80317742474, 45834.5703125, -103909.23286492474, 299.83583333908734, 15.1
59000, -149463.20283562786, 45883.53125, -103579.67158562786, 300.15612091670147, 15.1
