 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.43520133875 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 0.0
AmoebaElecCharge: -0.0 e
Potential Energy after reinitialization: -152146.83681266688 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -153101.574361495, 46161.65625, -106939.918111495, 302.0741102783141, 0
2000, -152849.30019157313, 45572.8203125, -107276.47987907313, 298.2208669943882, 16.7
3000, -152256.1046349325, 45310.90625, -106945.1983849325, 296.50694544507064, 16.7
4000, -152817.78090446375, 45846.16015625, -106971.62074821375, 300.0095569334411, 16.7
5000, -152257.14223258875, 45187.08203125, -107070.06020133875, 295.69666059508074, 16.6
6000, -152270.48891227625, 45697.3203125, -106573.16859977625, 299.0355740431555, 16.6
7000, -152300.78456657313, 45670.02734375, -106630.75722282313, 298.856973448598, 16.6
8000, -152085.49867790125, 45770.8984375, -106314.60024040125, 299.51705691120844, 16.6
9000, -152059.43886344813, 45070.30078125, -106989.13808219813, 294.9324637473791, 16.6
10000, -151697.94960563563, 44954.140625, -106743.80898063563, 294.1723312326578, 16.6
11000, -152437.76015251063, 45383.64453125, -107054.11562126063, 296.9829325169549, 16.6
12000, -152804.79677360438, 45498.88671875, -107305.91005485438, 297.7370579986546, 16.6
13000, -153229.047017745, 46255.69921875, -106973.347798995, 302.6895116399818, 16.6
14000, -153361.45253532313, 45848.9296875, -107512.52284782313, 300.0276802798761, 16.6
15000, -152285.91200797938, 45643.78515625, -106642.12685172938, 298.6852489897119, 16.5
16000, -152381.9425255575, 45943.375, -106438.5675255575, 300.6457145113362, 16.5
17000, -152824.95961540125, 45632.546875, -107192.41274040125, 298.61170756842347, 16.5
18000, -152771.46083610438, 45557.0859375, -107214.37489860438, 298.1179038922159, 16.5
19000, -151833.76308219813, 44890.4453125, -106943.31776969813, 293.7555198264957, 16.5
20000, -152192.996236495, 45600.90625, -106592.089986495, 298.40465664300257, 16.5
21000, -152649.59901969813, 46360.515625, -106289.08339469813, 303.37541256366325, 16.5
22000, -152184.683736495, 45595.33984375, -106589.343892745, 298.3682310172341, 16.5
