 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.49037224895 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 0.625
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149819.32585961468 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -149893.38572747356, 45108.78515625, -104784.60057122356, 295.08796735789343, 0
2000, -150088.36943108684, 46089.28125, -103999.08818108684, 301.50207490490095, 17.8
3000, -149061.6620488847, 44923.51171875, -104138.1503301347, 293.87596482029664, 17.9
4000, -149786.98645836956, 46196.6953125, -103590.29114586956, 302.2047450667992, 17.9
5000, -149287.48418481, 45922.23046875, -103365.25371605999, 300.4092794480102, 17.9
6000, -149351.71592766888, 45705.6328125, -103646.08311516888, 298.9923633884022, 17.9
7000, -149178.0317540849, 46122.6640625, -103055.36769158489, 301.72045512177425, 17.9
8000, -149803.48925835735, 46018.765625, -103784.72363335735, 301.0407831104945, 17.9
9000, -148992.6713872636, 45794.703125, -103197.9682622636, 299.5750343110731, 17.9
10000, -150199.92421013958, 45990.60546875, -104209.31874138958, 300.85656792404, 17.9
11000, -149982.67773491985, 46113.40625, -103869.27148491985, 301.6598933251455, 17.9
12000, -149594.7512059892, 46460.0390625, -103134.71214348919, 303.92745986913167, 17.9
13000, -149231.3686528886, 45621.3828125, -103609.9858403886, 298.4412254855793, 17.9
14000, -149826.96067864544, 45583.578125, -104243.38255364544, 298.193918705928, 17.9
15000, -149304.3354497636, 45625.56640625, -103678.7690435136, 298.46859328481537, 17.9
16000, -149962.117538997, 46281.78125, -103680.336288997, 302.7613514187692, 17.9
17000, -149465.92596490032, 45603.2890625, -103862.63690240032, 298.322861670396, 17.9
18000, -149467.83032281048, 45675.796875, -103792.03344781048, 298.7971857501529, 17.9
19000, -149645.4594732011, 45576.046875, -104069.4125982011, 298.14465155660304, 17.9
20000, -149835.4961705888, 45406.2890625, -104429.2071080888, 297.03414752373595, 17.9
21000, -149441.8160634721, 45032.03515625, -104409.7809072221, 294.58589217639013, 17.9
22000, -148341.43586022503, 45355.40625, -102986.02961022503, 296.70128762378374, 17.9
23000, -149475.51298577434, 45691.2734375, -103784.23954827434, 298.8984287198758, 17.9
24000, -150182.177795955, 46017.5, -104164.67779595501, 301.0325037762718, 17.9
25000, -149590.61149651653, 45735.69140625, -103854.92009026653, 299.18899757619073, 18
26000, -149491.23936516888, 45385.95703125, -104105.28233391888, 296.90114155265877, 18
27000, -150010.37638909466, 46378.3828125, -103631.99357659466, 303.39328949076514, 18
28000, -149411.987221309, 45500.234375, -103911.75284630901, 297.64870921526466, 18
29000, -149164.36631829388, 45230.875, -103933.49131829388, 295.8866420218738, 18
30000, -149596.6548009599, 45636.42578125, -103960.22901970989, 298.539632016726, 18
31000, -150222.59249932415, 45873.83203125, -104348.76046807415, 300.09267157449506, 18
32000, -150039.7722478593, 45895.640625, -104144.1316228593, 300.23533676883204, 18
33000, -150009.49647576458, 45486.453125, -104523.04335076458, 297.55855646483997, 18
34000, -149131.40818841106, 45841.41796875, -103289.99021966106, 299.8806286257921, 18
35000, -148852.8139806474, 46043.24609375, -102809.56788689739, 301.2009268993016, 18
36000, -149511.48591668255, 45991.625, -103519.86091668255, 300.8632373877194, 18
37000, -150153.9392400468, 45834.0234375, -104319.9158025468, 299.83225584899117, 18
38000, -149224.12109429485, 45575.078125, -103649.04296929485, 298.1383142884326, 18
39000, -149061.48606927044, 45914.796875, -103146.68919427044, 300.3606511362023, 18
40000, -149432.63141686565, 45112.59375, -104320.03766686565, 295.1128820210635, 18
41000, -149635.89450127727, 46098.515625, -103537.37887627727, 301.5624833805256, 18
42000, -149830.64122063763, 45256.97265625, -104573.66856438763, 296.0573649599654, 18
43000, -149678.58912713177, 45504.1796875, -104174.40943963177, 297.6745182509587, 18
44000, -150622.5779271806, 45657.90234375, -104964.6755834306, 298.68012516350456, 18
45000, -150368.99426324017, 45527.4375, -104841.55676324017, 297.8266637940507, 18
46000, -150314.3302770341, 45439.0, -104875.33027703411, 297.2481325384911, 18
47000, -149814.52217919476, 45533.7265625, -104280.79561669476, 297.8678049301572, 18
48000, -149408.37928826458, 46027.2890625, -103381.09022576458, 301.09654084899404, 18
49000, -149316.98825127727, 45743.375, -103573.61325127727, 299.2392613120425, 18
50000, -148871.98735100872, 45545.6640625, -103326.32328850872, 297.94589642825747, 18
51000, -149337.9453893388, 45775.96875, -103561.9766393388, 299.4524797217771, 18
