 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.43446891688 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 0.6
AmoebaElecCharge: -0.0 e
Potential Energy after reinitialization: -152153.23256462 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152871.22084587, 45294.30078125, -107576.92006462, 296.3982820519886, 0
2000, -151444.05043571375, 45429.82421875, -106014.22621696375, 297.2851246206988, 16.8
3000, -151781.29286735438, 46193.08984375, -105588.20302360438, 302.27980642607486, 16.8
4000, -152357.07558219813, 45778.17578125, -106578.89980094813, 299.5646786240552, 16.8
5000, -152701.769673995, 45975.59375, -106726.175923995, 300.8565485894685, 16.7
6000, -152421.03188102625, 45710.4375, -106710.59438102625, 299.1214107107559, 16.7
7000, -152620.132955245, 46530.65625, -106089.476705245, 304.4887841818896, 16.7
8000, -152185.49599235438, 45253.1640625, -106932.33192985438, 296.12909028709873, 16.7
9000, -152157.47743766688, 45572.8671875, -106584.61025016688, 298.2211737364999, 16.6
10000, -152904.9112755575, 45683.5078125, -107221.4034630575, 298.94518736756436, 16.6
11000, -152619.35097282313, 45520.796875, -107098.55409782313, 297.880434374048, 16.5
12000, -152215.29433219813, 45844.125, -106371.16933219813, 299.9962392134233, 16.5
13000, -152393.02577751063, 45597.3515625, -106795.67421501063, 298.381395366196, 16.5
14000, -153446.00575797938, 46182.7578125, -107263.24794547938, 302.21219535228, 16.4
15000, -152162.47426383875, 45717.30859375, -106445.16567008875, 299.1663739919677, 16.4
16000, -152623.54335563563, 45140.734375, -107482.80898063563, 295.3933693321031, 16.3
17000, -152319.33778922938, 46147.5859375, -106171.75185172938, 301.9820365211084, 16.3
18000, -152969.65810172938, 45482.97265625, -107486.68544547938, 297.63291905172076, 16.3
19000, -152736.60390251063, 45211.828125, -107524.77577751063, 295.85859486823404, 16.3
20000, -153267.36195915125, 45078.97265625, -108188.38930290125, 294.98921103805, 16.3
21000, -153164.29848258875, 45767.6015625, -107396.69692008875, 299.4954827160164, 16.2
22000, -153095.11147087, 46046.1875, -107048.92397087, 301.318502209741, 16.2
