 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.4312340536 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 0.725
AmoebaElecCharge: -0.0 e
Potential Energy after reinitialization: -152154.75610893153 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152988.95860832118, 45500.515625, -107488.44298332118, 297.7477172870374, 0
2000, -152756.69911735438, 45274.8203125, -107481.87880485438, 296.2708051427202, 18.6
3000, -152236.5895592489, 45556.24609375, -106680.34346549891, 298.1124080960473, 18.7
4000, -152428.65753715418, 45577.99609375, -106850.66144340418, 298.25473643589226, 18.6
5000, -152183.0986382284, 45649.890625, -106533.2080132284, 298.7252021497653, 18.6
6000, -152298.81143730067, 45320.76953125, -106978.04190605067, 296.5714890977481, 18.6
7000, -152035.31784599207, 45771.8359375, -106263.48190849207, 299.5231917534431, 18.6
8000, -151927.1731316366, 45787.30078125, -106139.8723503866, 299.6243910884729, 18.6
9000, -152516.2104088583, 45342.4453125, -107173.76509635829, 296.71333176258275, 18.5
10000, -152423.34395378016, 45936.28125, -106487.06270378016, 300.59929420509366, 18.5
11000, -152668.27837913416, 45570.703125, -107097.57525413416, 298.20701247567484, 18.5
12000, -151740.66628044032, 45554.10546875, -106186.56081169032, 298.0984002062781, 18.5
13000, -152254.51163261317, 45283.46875, -106971.04288261317, 296.32739906233525, 18.5
14000, -152072.86446159266, 45784.19921875, -106288.66524284266, 299.60409498541316, 18.5
15000, -151598.26723258875, 45497.98828125, -106100.27895133875, 297.7311787748464, 18.5
16000, -152056.18232505702, 45696.18359375, -106359.99873130702, 299.028135546946, 18.5
17000, -152209.30187003993, 45853.41015625, -106355.89171378993, 300.0569997133894, 18.5
18000, -152468.9800621786, 45367.37890625, -107101.6011559286, 296.876493004183, 18.5
19000, -151926.11319511317, 45435.5078125, -106490.60538261317, 297.32231710174665, 18.5
20000, -152892.95301597498, 46013.8125, -106879.14051597498, 301.1066456579029, 18.5
21000, -152260.168691329, 45772.9609375, -106487.20775382899, 299.5305535641247, 18.5
22000, -152958.6735436239, 45699.36328125, -107259.31026237391, 299.04894288685864, 18.5
23000, -152766.7448326864, 45502.1015625, -107264.64327018641, 297.75809539515114, 18.5
24000, -152985.49551933192, 45544.8671875, -107440.62833183192, 298.0379464484237, 18.5
25000, -152862.5202461996, 45904.50390625, -106958.0163399496, 300.3913486151802, 18.5
26000, -152266.25356071375, 45108.34765625, -107157.90590446375, 295.1814360947371, 18.5
27000, -152550.94536369227, 45840.046875, -106710.89848869227, 299.9695526497024, 18.5
28000, -152023.7730461874, 45156.79296875, -106866.98007743739, 295.4984540672149, 18.5
29000, -152651.58269279383, 45508.5703125, -107143.01238029383, 297.8004258065705, 18.5
30000, -152209.26449363612, 45945.765625, -106263.49886863612, 300.6613583590347, 18.6
31000, -151443.27879875086, 45711.6171875, -105731.66161125086, 299.1291303872346, 18.6
32000, -152359.21965568446, 45616.5078125, -106742.71184318446, 298.50675064252493, 18.6
33000, -152460.33125846766, 45332.77734375, -107127.55391471766, 296.65006620203746, 18.6
34000, -152347.00128715418, 45615.921875, -106731.07941215418, 298.50291636612826, 18.6
35000, -152741.93776481532, 45998.78125, -106743.15651481532, 301.0082836874066, 18.6
36000, -152053.72215812586, 45904.0859375, -106149.63622062586, 300.38861349801726, 18.6
37000, -151903.17851798914, 45823.3671875, -106079.81133048914, 299.86040358161017, 18.6
38000, -152318.4662682333, 45783.1875, -106535.27876823329, 299.59747446816823, 18.6
39000, -151765.69925468348, 45448.28515625, -106317.41409843348, 297.405929889037, 18.6
40000, -152159.3952233114, 45715.9921875, -106443.40303581141, 299.1577596509965, 18.6
41000, -152469.41020744227, 45637.28515625, -106832.12505119227, 298.6427140835513, 18.6
42000, -152490.20227592372, 45249.5703125, -107240.63196342372, 296.1055733918658, 18.6
43000, -152591.05226676844, 45825.74609375, -106765.30617301844, 299.8759707437806, 18.6
44000, -152861.3913170614, 45383.375, -107478.01631706141, 296.98116874981247, 18.6
45000, -152085.98650901698, 45244.75, -106841.23650901698, 296.0740300780423, 18.6
46000, -152165.8818566122, 44813.66015625, -107352.22170036219, 293.25305068563165, 18.6
47000, -151951.1674095907, 45321.3203125, -106629.84709709071, 296.57509331756097, 18.6
48000, -151810.50270622157, 45659.4765625, -106151.02614372157, 298.78793091161504, 18.6
49000, -152590.06883781336, 45920.5859375, -106669.48290031336, 300.49658672134785, 18.6
50000, -152083.7282654562, 45835.6796875, -106248.04857795619, 299.94097450962573, 18.6
51000, -152109.31018607997, 46187.53515625, -105921.77502982997, 302.2434574858343, 18.6
52000, -152375.0652977743, 45506.875, -106868.1902977743, 297.78933196686273, 18.6
53000, -152391.34470146082, 45328.9609375, -107062.38376396082, 296.62509228177373, 18.6
54000, -153144.75247733973, 46246.1328125, -106898.61966483973, 302.62691068734534, 18.6
55000, -152473.41151969813, 45882.3828125, -106591.02870719813, 300.2465919002841, 18.6
56000, -153248.87410514735, 45633.6796875, -107615.19441764735, 298.6191205027904, 18.6
57000, -153005.16666191004, 45806.4453125, -107198.72134941004, 299.7496696792739, 18.6
58000, -152434.64432304286, 45644.79296875, -106789.85135429286, 298.69184394511416, 18.6
59000, -152125.2954766073, 45973.80078125, -106151.49469535731, 300.8448157036947, 18.6
60000, -151748.00021903895, 45300.109375, -106447.89084403895, 296.43629251200105, 18.6
61000, -151540.05312126063, 45833.3671875, -105706.68593376063, 299.92584189878016, 18.6
62000, -151947.7451226034, 45780.0703125, -106167.6748101034, 299.5770761177378, 18.6
63000, -151541.04723136805, 46112.3515625, -105428.69566886805, 301.7514687004545, 18.6
64000, -152682.49474113368, 45773.484375, -106909.01036613368, 299.5339788510391, 18.6
65000, -152579.21523063563, 45155.78125, -107423.43398063563, 295.49183354996995, 18.6
66000, -152321.06551139735, 46222.4765625, -106098.58894889735, 302.4721081682899, 18.6
67000, -153025.6162316122, 45485.625, -107539.99123161219, 297.6502755428764, 18.6
68000, -153188.11978691004, 45535.515625, -107652.60416191004, 297.97675139713266, 18.6
69000, -153035.9555260458, 45581.6015625, -107454.35396354579, 298.2783300166532, 18.6
70000, -152213.24337547206, 45682.46484375, -106530.77853172206, 298.9383623555783, 18.6
71000, -151599.64040153407, 45581.609375, -106018.03102653407, 298.27838114033847, 18.6
72000, -151786.0461937704, 45995.375, -105790.6711937704, 300.9859937606206, 18.6
73000, -152099.28024833582, 46023.01171875, -106076.26852958582, 301.16684379733084, 18.6
74000, -151884.58087699793, 45297.80859375, -106586.77228324793, 296.4212365866834, 18.6
75000, -152065.00021140956, 45798.359375, -106266.64083640956, 299.69675666499967, 18.6
76000, -152078.66707389735, 45323.4296875, -106755.23738639735, 296.588896712589, 18.6
77000, -152654.51891868495, 45223.8671875, -107430.65173118495, 295.9373764672645, 18.6
78000, -152680.09830253504, 45074.9296875, -107605.16861503504, 294.9627545309129, 18.6
79000, -152240.07430045985, 46030.609375, -106209.46492545985, 301.21656158127445, 18.6
80000, -153158.19710319422, 45767.5546875, -107390.64241569422, 299.4951759739047, 18.6
81000, -153225.32655876063, 45785.4375, -107439.88905876063, 299.6121980895315, 18.6
82000, -152767.33826225184, 46406.1171875, -106361.22107475184, 303.6738215146958, 18.6
83000, -152737.816548995, 45939.30078125, -106798.515767745, 300.61905350945796, 18.6
84000, -152500.750142745, 45903.8828125, -106596.867330245, 300.38728428219974, 18.6
85000, -153129.77896659754, 45771.4609375, -107358.31802909754, 299.52073781654923, 18.6
86000, -151782.9330651083, 45214.39453125, -106568.53853385829, 295.8753889988515, 18.6
87000, -152542.61452262782, 45578.2265625, -106964.38796012782, 298.2562445846083, 18.6
88000, -152458.56438224696, 45070.6640625, -107387.90031974696, 294.934840998745, 18.6
89000, -152043.26906364344, 45107.9453125, -106935.32375114344, 295.17880322494466, 18.6
90000, -151528.5111595907, 45813.5078125, -105715.00334709071, 299.7958854907752, 18.6
91000, -151848.45171134852, 45756.0, -106092.45171134852, 299.4195640433621, 18.6
92000, -151632.3752953329, 45399.9453125, -106232.4299828329, 297.0896020863106, 18.6
93000, -152424.18878715418, 45972.02734375, -106452.16144340418, 300.833210627134, 18.6
94000, -152489.3420922079, 45611.421875, -106877.9202172079, 298.47346912340174, 18.6
95000, -151713.15171592616, 45815.74609375, -105897.40562217616, 299.8105324266106, 18.6
96000, -152882.5456139364, 45783.078125, -107099.46748893641, 299.59675873657415, 18.6
97000, -152354.6932274618, 45931.6015625, -106423.0916649618, 300.56867111760556, 18.6
98000, -152347.6764885702, 45894.578125, -106453.0983635702, 300.3263959730204, 18.6
99000, -152458.44946830653, 44309.546875, -108148.90259330653, 289.9542182068235, 18.6
100000, -152865.24893730067, 45975.9140625, -106889.33487480067, 300.8586446605654, 18.6
101000, -152032.3282830038, 45764.48046875, -106267.8478142538, 299.4750588037434, 18.6
102000, -152968.91271751307, 46045.21875, -106923.69396751307, 301.31216287276516, 18.6
103000, -152739.46950309657, 45662.7578125, -107076.71169059657, 298.8094028594365, 18.6
104000, -152512.6304528036, 45846.90234375, -106665.7281090536, 300.0144136835436, 18.6
105000, -151963.01154106043, 44955.48046875, -107007.53107231043, 294.1810989446849, 18.6
106000, -152332.89298026942, 45482.5234375, -106850.36954276942, 297.6299794398166, 18.6
107000, -152424.35989921473, 46005.7109375, -106418.64896171473, 301.0536303962581, 18.6
108000, -152276.26772087, 45612.5234375, -106663.74428337, 298.4806775630275, 18.6
109000, -152609.7799889364, 45062.765625, -107547.01436393641, 294.8831549529177, 18.6
110000, -152396.16969840907, 45221.90625, -107174.26344840907, 295.924544422257, 18.6
111000, -151914.96271293543, 46024.21875, -105890.74396293543, 301.174742406708, 18.6
112000, -151477.37535636805, 45347.03125, -106130.34410636805, 296.74334136584747, 18.6
113000, -152617.8108498373, 45613.1484375, -107004.66241233729, 298.48476745785064, 18.6
114000, -152532.70567863368, 45602.5546875, -106930.15099113368, 298.41544374059856, 18.6
115000, -151623.84052055262, 46426.2578125, -105197.58270805262, 303.8056183753712, 18.6
116000, -152213.04042594813, 45961.80859375, -106251.23183219813, 300.7663408467759, 18.6
117000, -151994.29790275477, 45352.37890625, -106641.91899650477, 296.7783355284279, 18.6
118000, -151845.70267265223, 45434.0, -106411.70267265223, 297.3124502304859, 18.6
119000, -152396.93799369715, 45142.41796875, -107254.52002494715, 295.4043864862829, 18.6
120000, -151651.81801383875, 45993.70703125, -105658.11098258875, 300.97507885381134, 18.6
121000, -151391.50911491297, 45922.3515625, -105469.15755241297, 300.5081406742232, 18.6
122000, -151796.81288688563, 45808.46875, -105988.34413688563, 299.76291071376374, 18.6
123000, -152971.32386558436, 45894.4609375, -107076.86292808436, 300.3256291177411, 18.6
124000, -152472.64186637782, 45988.734375, -106483.90749137782, 300.9425386281248, 18.6
125000, -151323.51823966883, 45702.98828125, -105620.52995841883, 299.07266427683277, 18.6
126000, -151304.07948844813, 45163.4609375, -106140.61855094813, 295.54208813260914, 18.6
127000, -151803.04196708582, 45229.6171875, -106573.42477958582, 295.97500349963735, 18.6
128000, -151338.71380393885, 46068.4296875, -105270.28411643885, 301.4640513417591, 18.6
129000, -151830.7797142782, 45677.7421875, -106153.03752677821, 298.907458087821, 18.6
130000, -152375.90312736414, 46227.35546875, -106148.54765861414, 302.50403490975293, 18.6
131000, -152976.1891686239, 45643.7265625, -107332.46260612391, 298.68486556207216, 18.6
132000, -153384.79704826258, 45605.96875, -107778.82829826258, 298.43778479106993, 18.6
133000, -153283.16312187098, 45763.6484375, -107519.51468437098, 299.46961413126013, 18.6
134000, -153115.1582237997, 44909.51953125, -108205.63869254969, 293.88033830412905, 18.6
135000, -153468.52751701258, 46109.45703125, -107359.07048576258, 301.73252737505493, 18.6
136000, -152280.1313072958, 44762.1484375, -107517.98286979579, 292.91596666667783, 18.6
137000, -152165.40886466883, 45717.62109375, -106447.78777091883, 299.1684189393793, 18.6
138000, -152629.5666863241, 45962.7890625, -106666.7776238241, 300.7727568692797, 18.6
139000, -152123.53987663172, 45606.66796875, -106516.87190788172, 298.44236036090325, 18.6
140000, -151400.83171623133, 45334.72265625, -106066.10905998133, 296.6627959996745, 18.6
141000, -152995.14046256922, 45247.578125, -107747.56233756922, 296.092536852117, 18.6
142000, -152414.59929435633, 45476.55859375, -106938.04070060633, 297.59094650609836, 18.6
143000, -152762.61043327235, 45560.3046875, -107202.30574577235, 298.138966850555, 18.6
144000, -153152.21188896082, 45829.9609375, -107322.25095146082, 299.90355197199415, 18.6
145000, -152550.13611381434, 45682.8203125, -106867.31580131434, 298.94068848325895, 18.6
