 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.43410270594 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: -0.149936 e
Potential Energy after reinitialization: -152408.71907585047 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -153338.76091545008, 45563.10546875, -107775.65544670008, 298.1572946917312, 0
2000, -152626.17757194422, 45166.39453125, -107459.78304069422, 295.5612850764352, 13.2
3000, -152034.70824211024, 45730.578125, -106304.13011711024, 299.2532075714313, 16.8
4000, -153393.85817497157, 45541.44140625, -107852.41676872157, 298.0155287124245, 18.4
5000, -153290.6552788534, 45662.0859375, -107628.5693413534, 298.8050062225016, 19.3
6000, -152940.76650779627, 45509.92578125, -107430.84072654627, 297.80929576596816, 19.9
7000, -153191.82863395594, 45721.515625, -107470.31300895594, 299.19390409649594, 20.3
8000, -153174.33284538172, 45597.45703125, -107576.87581413172, 298.3820855359474, 20.6
9000, -152546.5046135702, 45626.72265625, -106919.7819573202, 298.5735948610405, 20.8
10000, -152836.04643791102, 45457.36328125, -107378.68315666102, 297.465335611343, 21
11000, -153015.91872184657, 45291.36328125, -107724.55544059657, 296.37905954631987, 20.9
12000, -152731.73320548914, 45671.34375, -107060.38945548914, 298.86558778956925, 21
13000, -152345.52174919032, 45289.4921875, -107056.02956169032, 296.36681542369314, 21.1
14000, -152649.1851403036, 45147.6171875, -107501.5679528036, 295.43840929884277, 20
15000, -152722.77199333094, 44863.96484375, -107858.80714958094, 293.5822360952082, 18.4
16000, -152867.9718224325, 45464.734375, -107403.2374474325, 297.5135708084133, 18.6
17000, -151704.26393669032, 45134.23046875, -106570.03346794032, 295.35080886409986, 16
18000, -152537.54683463954, 45130.9375, -107406.60933463954, 295.3292602307505, 16.3
19000, -153059.39290397547, 45976.6640625, -107082.72884147547, 300.8635525343532, 16.6
20000, -152494.07573478602, 45388.8515625, -107105.22417228602, 297.0170064532001, 16.8
21000, -151545.83772819422, 45711.484375, -105834.35335319422, 299.1282612845847, 17
22000, -151960.05821769618, 45604.640625, -106355.41759269618, 298.4290937645708, 17.2
23000, -151827.21858756922, 45581.46875, -106245.74983756922, 298.27746091400326, 17.4
24000, -151814.96169059657, 45388.28515625, -106426.67653434657, 297.0132999860166, 17.6
25000, -152707.4735008993, 45699.703125, -107007.7703758993, 299.0511667671687, 17.7
26000, -151945.75203483485, 45928.328125, -106017.42390983485, 300.5472502934694, 17.9
27000, -152069.386861495, 45570.8671875, -106498.519673995, 298.20808607306594, 18
28000, -152373.27431266688, 45525.3125, -106847.96181266688, 297.9099838641451, 17.7
