 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.43202751063 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 0.5
AmoebaElecCharge: -0.0 e
Potential Energy after reinitialization: -152150.15175407313 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152557.91737907313, 45115.79296875, -107442.12441032313, 295.2301569668176, 0
2000, -151778.898580245, 45568.12890625, -106210.769673995, 298.1901672213721, 16.4
3000, -152528.672017745, 45481.15625, -107047.515767745, 297.621032794891, 16.4
4000, -152348.94325797938, 45586.30859375, -106762.63466422938, 298.30913203703983, 16.4
5000, -152685.96742790125, 45430.69921875, -107255.26820915125, 297.2908504734512, 16.4
6000, -152548.64882438563, 45684.8828125, -106863.76601188563, 298.9541851361753, 16.4
7000, -152102.12831657313, 45728.3828125, -106373.74550407313, 299.2388418158651, 16.4
8000, -151535.43617790125, 46129.578125, -105405.85805290125, 301.864196426517, 16.3
9000, -151366.5108849325, 45589.48046875, -105777.0304161825, 298.3298882532672, 16.2
10000, -152531.55556266688, 45157.5546875, -107374.00087516688, 295.50343862653057, 16.2
11000, -153509.88881462, 46067.08984375, -107442.79897087, 301.455283629732, 16.1
12000, -153654.97597282313, 45426.0859375, -108228.89003532313, 297.26066193728803, 16.1
13000, -153950.37196891688, 45546.5078125, -108403.86415641688, 298.0486824223345, 16
14000, -153189.29140251063, 45663.03515625, -107526.25624626063, 298.81121775026423, 15.9
15000, -152351.38051383875, 45675.2421875, -106676.13832633875, 298.8910985085285, 15.9
16000, -152538.13319938563, 45727.23828125, -106810.89491813563, 299.2313521959702, 15.8
17000, -151613.9269005575, 46009.83203125, -105604.0948693075, 301.08059814024807, 15.8
18000, -151864.11147087, 45614.734375, -106249.37709587, 298.49514556596426, 15.7
19000, -152228.83852165125, 45649.6796875, -106579.15883415125, 298.7238218102625, 15.7
20000, -151900.7784630575, 45311.859375, -106588.9190880575, 296.5131825346758, 15.7
21000, -152307.91591422938, 45420.69140625, -106887.22450797938, 297.2253610325959, 15.6
22000, -153347.04067008875, 46171.77734375, -107175.26332633875, 302.1403410126062, 15.6
