 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.4904332841 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149933.053665706 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -149497.063431331, 46119.2109375, -103377.85249383099, 301.6978658271667, 0
2000, -149286.30806023724, 45885.8203125, -103400.48774773724, 300.1710952681042, 15.6
3000, -150028.1288610185, 45692.26953125, -104335.85932976849, 298.9049448625511, 15.6
4000, -148897.80024773724, 45112.21484375, -103785.58540398724, 295.11040333149685, 15.5
5000, -149817.9591832841, 46104.984375, -103712.97480828411, 301.60479997766373, 15.3
6000, -149824.1112828935, 45397.7109375, -104426.40034539349, 296.97803203622675, 15.3
7000, -150147.4707799638, 45555.51171875, -104591.9590612138, 298.01031680349007, 15
8000, -149924.66865594036, 45414.96875, -104509.69990594036, 297.09092740226305, 14.8
9000, -150074.53682000286, 45509.1953125, -104565.34150750286, 297.7073289458412, 14.6
10000, -150458.0097203935, 44700.1953125, -105757.81440789349, 292.41509673950657, 14.5
11000, -150425.641556331, 45504.7265625, -104920.91499383099, 297.67809574105496, 14.4
12000, -150178.5565953935, 45257.9609375, -104920.59565789349, 296.0638299956393, 14.2
13000, -150661.78852898724, 45546.41796875, -105115.37056023724, 297.9508282538901, 14.2
14000, -150654.7394567216, 45145.76953125, -105508.96992547161, 295.3299079024004, 14.1
15000, -150142.70185906536, 45704.09375, -104438.60810906536, 298.9822953091315, 14
16000, -149347.0734410966, 45997.1875, -103349.88594109661, 300.8996255726981, 14
17000, -148993.456009456, 45436.91796875, -103556.53804070599, 297.23451252262475, 13.9
18000, -149517.5194860185, 46298.71484375, -103218.80464226849, 302.87212584424844, 13.9
19000, -149201.46235711224, 45833.5625, -103367.89985711224, 299.82924053591006, 13.8
20000, -149916.94087273724, 45200.5546875, -104716.38618523724, 295.6882957495393, 13.8
21000, -148834.6330114091, 45613.46875, -103221.16426140911, 298.38945409318694, 13.8
22000, -149047.467728206, 45575.26953125, -103472.19819695599, 298.1395664099663, 13.8
23000, -149812.4826207841, 45639.82421875, -104172.65840203411, 298.5618635623239, 13.8
24000, -148805.6183629716, 45474.5703125, -103331.04805047161, 297.48082271574935, 13.7
