 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.489212581 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149856.1398473466 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -148872.772415706, 45396.50390625, -103476.26850945599, 296.97013600451436, 0
2000, -149534.88545281536, 46107.0390625, -103427.84639031536, 301.61824111902524, 15.4
3000, -150176.79536492474, 45387.01953125, -104789.77583367474, 296.9080921048457, 15.2
4000, -149847.2746129716, 45543.625, -104303.64961297161, 297.9325575008988, 15.2
5000, -149175.069290706, 45863.9453125, -103311.12397820599, 300.0279956642555, 15.2
6000, -149150.68110711224, 45938.51171875, -103212.16938836224, 300.51578643887467, 15.2
7000, -150268.70674187786, 45693.328125, -104575.37861687786, 298.91186986123734, 15.1
8000, -149376.83662469036, 45478.72265625, -103898.11396844036, 297.5079860869799, 15.1
9000, -148919.60810906536, 45146.1875, -103773.42060906536, 295.33264212697395, 14.9
10000, -149414.2577672685, 46333.73828125, -103080.51948601849, 303.10123853141044, 14.8
11000, -149686.5839391435, 45933.24609375, -103753.33784539349, 300.4813403199483, 14.7
12000, -149548.1964879716, 45495.5234375, -104052.67305047161, 297.61789169343575, 14.7
13000, -149139.30708367474, 45298.3828125, -103840.92427117474, 296.32825762075106, 14.6
14000, -149512.66572625286, 45648.95703125, -103863.70869500286, 298.6216076469307, 14.6
15000, -149615.4628453935, 45670.77734375, -103944.68550164349, 298.7643495017698, 14.6
16000, -149118.06904656536, 46038.3515625, -103079.71748406536, 301.1689083629404, 14.6
17000, -149577.866165706, 46043.515625, -103534.35054070599, 301.202690090849, 14.6
18000, -149158.4394078935, 46146.69921875, -103011.74018914349, 301.877685811503, 14.5
19000, -149591.65473992474, 46083.390625, -103508.26411492474, 301.4635402258645, 14.5
20000, -148057.0011754716, 46106.62890625, -101950.37226922161, 301.61555800145305, 14.5
21000, -148978.92329461224, 46146.59765625, -102832.32563836224, 301.8770214204851, 14.5
22000, -149815.8058629716, 46184.5546875, -103631.25117547161, 302.12532478666327, 14.5
23000, -149266.78974969036, 45501.84765625, -103764.94209344036, 297.6592628110485, 14.5
24000, -148990.16645867474, 45470.09765625, -103520.06880242474, 297.45156395746244, 14.5
25000, -148956.49360711224, 45393.7109375, -103562.78266961224, 296.95186525152303, 14.5
26000, -149733.64131219036, 45842.828125, -103890.81318719036, 299.8898534395402, 14.5
27000, -149667.90083367474, 46017.82421875, -103650.07661492474, 301.03462471682883, 14.5
28000, -150543.76216179974, 46037.6328125, -104506.12934929974, 301.16420651881396, 14.5
29000, -150035.66938836224, 45088.125, -104947.54438836224, 294.95281489275857, 14.5
30000, -149871.7960973466, 45487.3984375, -104384.39765984661, 297.56474041200624, 14.5
31000, -149634.3085485185, 45315.265625, -104319.04292351849, 296.43869985072143, 14.5
32000, -149083.43208367474, 45354.703125, -103728.72895867474, 296.69668799366, 14.5
33000, -149747.7733922685, 45482.578125, -104265.19526726849, 297.5332073921582, 14.5
34000, -150045.94477898724, 45114.0078125, -104931.93696648724, 295.1221323883123, 14.5
35000, -149828.48481804974, 45887.171875, -103941.31294304974, 300.17993677934203, 14.5
36000, -148884.23518426067, 45633.65625, -103250.57893426067, 298.5215145847387, 14.5
37000, -149464.73603875286, 45331.9296875, -104132.80635125286, 296.54771108465326, 14.5
38000, -149426.5041051591, 46354.0625, -103072.44160515911, 303.2341933954863, 14.5
39000, -149948.4003453935, 45439.4765625, -104508.92378289349, 297.25125006557494, 14.5
40000, -149526.79536492474, 46299.5078125, -103227.28755242474, 302.87731320488797, 14.5
41000, -150347.99067742474, 46030.98828125, -104317.00239617474, 301.1207400141449, 14.5
42000, -149598.57588250286, 45101.328125, -104497.24775750286, 295.0391857250815, 14.5
43000, -149600.1027379716, 45519.2265625, -104080.87617547161, 297.7729503356061, 14.5
44000, -149100.4413610185, 45287.6796875, -103812.76167351849, 296.258241028868, 14.5
45000, -149093.5304723466, 46110.16015625, -102983.37031609661, 301.63865836607437, 14.5
46000, -148882.10102898724, 45338.6640625, -103543.43696648724, 296.5917653198381, 14.5
47000, -149479.9923864091, 45955.37890625, -103524.61348015911, 300.6261264548423, 14.5
48000, -149359.13655144817, 45141.6171875, -104217.51936394817, 295.3027445311699, 14.5
49000, -148709.76313836224, 45948.3359375, -102761.42720086224, 300.58005349310315, 14.5
50000, -149502.21260125286, 46653.0234375, -102849.18916375286, 305.18990501708515, 14.5
51000, -148956.60884148724, 45861.984375, -103094.62446648724, 300.01516780691054, 14.5
52000, -148926.3730016435, 46217.2734375, -102709.09956414349, 302.33936090841974, 14.5
53000, -149055.5636754716, 45591.734375, -103463.82930047161, 298.24727441536305, 14.5
54000, -149363.23579461224, 45863.484375, -103499.75141961224, 300.02498035117446, 14.5
55000, -149834.059525081, 45163.953125, -104670.10640008099, 295.4488594480996, 14.5
56000, -149046.3781285966, 45674.578125, -103371.80000359661, 298.78921305793847, 14.5
57000, -148372.407181331, 45474.46875, -102897.93843133099, 297.48015832473146, 14.5
58000, -148617.588821956, 45897.59375, -102719.99507195599, 300.2481135191756, 14.5
59000, -148762.00947625286, 45922.6953125, -102839.31416375286, 300.41232031459197, 14.5
60000, -149157.99482781536, 45564.3671875, -103593.62764031536, 298.0682465895481, 14.5
61000, -149045.7970739091, 46107.171875, -102938.62519890911, 301.61910993804855, 14.5
62000, -149443.58467156536, 46077.30078125, -103366.28389031536, 301.42370231829307, 14.5
63000, -149042.58638054974, 46031.4921875, -103011.09419304974, 301.1240364157336, 14.5
64000, -149334.07392937786, 45163.6953125, -104170.37861687786, 295.4471729170543, 14.5
65000, -149805.6554723466, 45367.5078125, -104438.14765984661, 296.78045236891285, 14.5
66000, -149641.1876989091, 45467.83984375, -104173.34785515911, 297.43679403406514, 14.5
67000, -149370.762650081, 46492.1875, -102878.57515008099, 304.13776517978783, 14.5
68000, -149198.8202672685, 45983.9296875, -103214.89057976849, 300.8128969913655, 14.5
69000, -149194.9042516435, 46055.0859375, -103139.81831414349, 301.2783795598846, 14.5
70000, -150544.8166051591, 46041.7109375, -104503.10566765911, 301.1908843735315, 14.5
71000, -149504.77973992474, 45436.7578125, -104068.02192742474, 297.23346482909665, 14.6
72000, -149323.5910192216, 45167.5078125, -104156.08320672161, 295.4721131337251, 14.6
73000, -150259.70161492474, 45945.34765625, -104314.35395867474, 300.5605050650774, 14.6
74000, -149915.37666375286, 45747.828125, -104167.54853875286, 299.26839230282604, 14.6
75000, -149538.7043004716, 45261.03125, -104277.67305047161, 296.08391504717946, 14.6
76000, -148814.19868523724, 45549.109375, -103265.08931023724, 297.96843461586366, 14.6
77000, -149199.09028679974, 45958.2890625, -103240.80122429974, 300.64516381285426, 14.6
78000, -149857.66841179974, 45698.37109375, -104159.29731804974, 298.9448594306246, 14.6
79000, -150095.31709344036, 46221.734375, -103873.58271844036, 302.36854300620456, 14.6
80000, -149244.22993523724, 45677.8125, -103566.41743523724, 298.8103713565076, 14.6
81000, -149099.5409703935, 45754.46875, -103345.07222039349, 299.31183325399434, 14.6
82000, -148949.43403679974, 45798.6171875, -103150.81684929974, 299.60063891876183, 14.6
83000, -149446.62934929974, 45471.66796875, -103974.96138054974, 297.46183646473867, 14.6
84000, -149543.20454461224, 46013.9921875, -103529.21235711224, 301.0095567326547, 14.6
