 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.4875035966 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 0.5
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149813.20454461224 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -149799.2472692216, 45367.375, -104431.87226922161, 296.7795835498895, 0
2000, -149221.71040398724, 45982.0234375, -103239.68696648724, 300.8004268830301, 15.5
3000, -150024.776321956, 45906.62890625, -104118.14741570599, 300.30721876626524, 15.5
4000, -148736.5175328935, 45760.70703125, -102975.81050164349, 299.3526421945919, 15.4
5000, -149398.65181023724, 45917.0234375, -103481.62837273724, 300.37521663159407, 15.3
6000, -148813.7433629716, 45563.15625, -103250.58711297161, 298.060325004335, 15.3
7000, -149095.52876336224, 45630.1328125, -103465.39595086224, 298.4984653271188, 15.3
8000, -149803.90986687786, 45815.13671875, -103988.77314812786, 299.70870467316826, 15.3
9000, -148788.84834344036, 45723.140625, -103065.70771844036, 299.1068941784825, 15.2
10000, -149067.71064812786, 45987.546875, -103080.16377312786, 300.8365595330019, 15.2
11000, -150242.49385125286, 45276.69140625, -104965.80244500286, 296.1863590314347, 15.1
12000, -150222.04243523724, 45916.01953125, -104306.02290398724, 300.3686493819174, 15.1
13000, -149764.8087926591, 45630.7578125, -104134.05098015911, 298.50255388722877, 15
14000, -148560.31611687786, 45063.1171875, -103497.19892937786, 294.78922138135863, 15
15000, -149331.786087581, 45845.2578125, -103486.52827508099, 299.9057477169677, 14.9
16000, -149732.299759456, 45367.1484375, -104365.15132195599, 296.77810144684963, 14.9
17000, -150146.80708367474, 45357.8203125, -104788.98677117474, 296.71707968720847, 14.8
18000, -149395.4328160966, 45655.375, -103740.05781609661, 298.6635920485599, 14.8
19000, -149658.4355016435, 45984.90625, -103673.52925164349, 300.8192853665373, 14.8
20000, -149184.56904656536, 45100.1484375, -104084.42060906536, 295.03146856787396, 14.8
21000, -149968.84932000286, 46481.80078125, -103487.04853875286, 304.0698184214604, 14.7
22000, -149005.5800328935, 45751.453125, -103254.12690789349, 299.2921059514638, 14.7
23000, -149696.1894078935, 46167.87109375, -103528.31831414349, 302.01618578522795, 14.7
24000, -149724.96748406536, 46050.15234375, -103674.81514031536, 301.2461054885166, 14.7
25000, -149008.563431331, 45602.34375, -103406.21968133099, 298.31667772322965, 14.6
26000, -150139.6066442216, 46319.98046875, -103819.62617547161, 303.01123910198993, 14.6
27000, -150131.07368523724, 45924.43359375, -104206.64009148724, 300.42369162239777, 14.6
28000, -150134.51338250286, 45960.4765625, -104174.03682000286, 300.65947377323914, 14.6
29000, -150215.42646844036, 45485.046875, -104730.37959344036, 297.5493572045926, 14.6
30000, -150364.82490594036, 45487.515625, -104877.30928094036, 297.5655070170269, 14.6
31000, -149608.70088250286, 45769.1875, -103839.51338250286, 299.40811884458395, 14.6
32000, -149381.7394567216, 45555.8828125, -103825.85664422161, 298.0127443860554, 14.6
33000, -149812.131790706, 45371.25390625, -104440.87788445599, 296.8049581760719, 14.5
34000, -148763.8634801591, 45777.078125, -102986.78535515911, 299.4597369159722, 14.5
35000, -150067.5880895341, 45470.9453125, -104596.64277703411, 297.45710906711156, 14.5
36000, -149706.9550328935, 45973.7578125, -103733.19722039349, 300.74635567557584, 14.5
37000, -150122.86103875286, 45418.81640625, -104704.04463250286, 297.11609760044007, 14.5
38000, -150915.635696956, 46029.640625, -104885.99507195599, 301.1119240564078, 14.5
39000, -149399.11763054974, 45865.5, -103533.61763054974, 300.0381659575291, 14.5
40000, -150201.14009148724, 45835.32421875, -104365.81587273724, 299.84076516472, 14.5
41000, -149811.31807000286, 45666.30078125, -104145.01728875286, 298.73506518998215, 14.5
42000, -149882.473587581, 45515.15625, -104367.31733758099, 297.74632358788995, 14.5
43000, -149921.4491735185, 45486.265625, -104435.18354851849, 297.557329896807, 14.5
44000, -149654.29048211224, 45478.984375, -104175.30610711224, 297.50969817152594, 14.5
45000, -150145.4650426591, 45260.5390625, -104884.92598015911, 296.0806953060929, 14.5
46000, -149207.7726598466, 45879.2890625, -103328.48359734661, 300.12836981495514, 14.5
47000, -149497.99092156536, 46535.671875, -102962.31904656536, 304.42222674943844, 14.5
48000, -149751.63642937786, 45692.6875, -104058.94892937786, 298.9076790871246, 14.5
49000, -149367.653275081, 45195.73828125, -104171.91499383099, 295.65678828319193, 14.5
50000, -149885.64326531536, 45693.10546875, -104192.53779656536, 298.91041331169816, 14.5
51000, -149692.79658562786, 45634.8359375, -104057.96064812786, 298.52923174194626, 14.5
52000, -149390.9533239091, 45492.41015625, -103898.54316765911, 297.59752555338804, 14.5
53000, -149563.60908562786, 46018.95703125, -103544.65205437786, 301.0420352320282, 14.5
54000, -148407.88447625286, 45972.01171875, -102435.87275750286, 300.7349332607687, 14.5
55000, -148222.563431331, 45177.3984375, -103045.16499383099, 295.53681459746525, 14.5
56000, -149893.454056331, 45870.1328125, -104023.32124383099, 300.0684724093442, 14.5
57000, -149600.76338250286, 45503.09375, -104097.66963250286, 297.6674143777677, 14.4
58000, -148822.44282586224, 45308.7421875, -103513.70063836224, 296.3960255045737, 14.4
59000, -149483.581009456, 45219.953125, -104263.62788445599, 295.81519443395223, 14.4
60000, -149589.12080437786, 45792.3515625, -103796.76924187786, 299.5596511036594, 14.4
61000, -149337.68696648724, 44736.28125, -104601.40571648724, 292.6511599788555, 14.4
62000, -150227.8144078935, 45808.05078125, -104419.76362664349, 299.6623506229215, 14.4
63000, -149541.24775750286, 45618.4453125, -103922.80244500286, 298.4220092530626, 14.4
64000, -149400.38801629192, 45859.0703125, -103541.31770379192, 299.9961048953979, 14.4
65000, -149499.9530797685, 45755.1484375, -103744.80464226849, 299.31627956311394, 14.4
66000, -149741.317337581, 45734.26171875, -104007.05561883099, 299.17964499493917, 14.4
67000, -150205.6193395341, 45457.765625, -104747.85371453411, 297.3708915557927, 14.4
68000, -149696.2929235185, 45288.5703125, -104407.72261101849, 296.26406722702467, 14.4
69000, -150633.0763707841, 46372.47265625, -104260.60371453411, 303.3546270442253, 14.4
70000, -149986.8788610185, 45909.453125, -104077.42573601849, 300.32569394726215, 14.4
71000, -150170.827103206, 45550.0546875, -104620.77241570599, 297.97461856303, 14.4
72000, -150144.95771844036, 45808.46484375, -104336.49287469036, 299.6650592939944, 14.4
73000, -150331.39790398724, 45597.875, -104733.52290398724, 298.2874445184434, 14.4
74000, -150437.44697625286, 45869.0625, -104568.38447625286, 300.0614707501559, 14.4
75000, -150538.05708367474, 45756.234375, -104781.82270867474, 299.323383436305, 14.4
76000, -150461.1056676591, 45373.86328125, -105087.24238640911, 296.8220279145311, 14.4
77000, -149542.61982781536, 45316.99609375, -104225.62373406536, 296.4500200515259, 14.4
78000, -149692.352493831, 45262.0, -104430.35249383099, 296.0902523153499, 14.4
79000, -150163.495071956, 45469.31640625, -104694.17866570599, 297.44645325732495, 14.4
80000, -150516.62861687786, 45119.8984375, -105396.73017937786, 295.1606670673487, 14.4
81000, -150322.01704461224, 45057.23046875, -105264.78657586224, 294.7507122558229, 14.4
82000, -150310.68330437786, 45153.3046875, -105157.37861687786, 295.3792006052262, 14.4
83000, -149052.39521844036, 44909.0703125, -104143.32490594036, 293.78149352825585, 14.4
84000, -149274.06001336224, 45220.796875, -104053.26313836224, 295.82071399010067, 14.4
85000, -149486.42646844036, 45560.18359375, -103926.24287469036, 298.04087879031204, 14.4
86000, -149336.83662469036, 45491.015625, -103845.82099969036, 297.5884029536427, 14.4
87000, -149581.68721062786, 46204.65625, -103377.03096062786, 302.25682310119987, 14.4
88000, -149497.8417516435, 45409.9375, -104087.90425164349, 297.05801449337787, 14.4
89000, -149370.76338250286, 45581.0234375, -103789.73994500286, 298.17720671647857, 14.4
90000, -149175.5959020341, 45846.6171875, -103328.97871453411, 299.91464033520685, 14.4
91000, -148461.45649773724, 45634.08203125, -102827.37446648724, 298.5242999163136, 14.4
92000, -148945.87080437786, 45758.7421875, -103187.12861687786, 299.33978878374626, 14.4
93000, -149388.65669304974, 45696.01171875, -103692.64497429974, 298.92942511620953, 14.4
94000, -149284.7501989091, 45906.81640625, -103377.93379265911, 300.30844533429826, 14.4
95000, -149262.1796422685, 45833.98828125, -103428.19136101849, 299.8320258674849, 14.4
96000, -149866.44599969036, 45883.86328125, -103982.58271844036, 300.1582929642599, 14.4
97000, -150161.4123082841, 45100.3359375, -105061.07637078411, 295.0326951359069, 14.4
98000, -149086.9806676591, 45100.234375, -103986.74629265911, 295.032030744889, 14.4
99000, -150367.27497918255, 45781.20703125, -104586.06794793255, 299.48674696619867, 14.4
100000, -149473.09932000286, 45456.83203125, -104016.26728875286, 297.36478426912845, 14.4
101000, -149500.26997429974, 45385.296875, -104114.97309929974, 296.89682301104267, 14.4
102000, -150312.24653679974, 45716.09375, -104596.15278679974, 299.06079566324274, 14.4
103000, -150010.14497429974, 45295.75, -104714.39497429974, 296.3110345612879, 14.4
104000, -150380.05537469036, 45681.69921875, -104698.35615594036, 298.83579708969137, 14.4
105000, -149628.03364617474, 45486.6640625, -104141.36958367474, 297.55993635387705, 14.4
106000, -149351.0324254716, 45710.78515625, -103640.24726922161, 299.0260684558087, 14.4
107000, -149896.15864617474, 45248.8359375, -104647.32270867474, 296.0041370180339, 14.4
108000, -149732.60029656536, 46111.97265625, -103620.62764031536, 301.6505151903932, 14.4
109000, -149660.78266961224, 45858.5859375, -103802.19673211224, 299.99293626131265, 14.4
110000, -148767.27803094036, 45859.6171875, -102907.66084344036, 299.99968238549405, 14.4
111000, -149862.936478206, 45913.53125, -103949.40522820599, 300.35237180197964, 14.4
112000, -149829.13447625286, 45664.0625, -104165.07197625286, 298.72042303408836, 14.4
113000, -149560.99067742474, 46053.19140625, -103507.79927117474, 301.2659861120513, 14.4
114000, -150233.6427770341, 45200.8125, -105032.83027703411, 295.6899822805846, 14.4
115000, -149362.2062535966, 45801.79296875, -103560.41328484661, 299.62141391482055, 14.4
116000, -149817.19770867474, 45844.75, -103972.44770867474, 299.90242576187836, 14.4
117000, -150465.8068395341, 46369.10546875, -104096.70137078411, 303.3325999266329, 14.4
118000, -150221.67817742474, 45900.9921875, -104320.68598992474, 300.27034506477355, 14.4
119000, -150483.793900081, 45491.984375, -104991.80952508099, 297.59474022181314, 14.4
120000, -149234.5370641435, 45186.5078125, -104048.02925164349, 295.5964053610679, 14.4
121000, -149861.18208367474, 45132.7578125, -104728.42427117474, 295.2447891916112, 14.4
122000, -150183.2443395341, 44683.328125, -105499.91621453411, 292.30475672353896, 14.4
123000, -149398.3800817216, 45226.953125, -104171.42695672161, 295.86098630718385, 14.4
