 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.48942620403 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 0.675
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149821.64764458782 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -149085.74737603313, 45712.4453125, -103373.30206353313, 299.0369286936008, 0
2000, -148722.01719720013, 45880.8828125, -102841.13438470013, 300.13879564323554, 25.9
3000, -149101.3039327348, 45439.5546875, -103661.7492452348, 297.2517611355887, 26
4000, -149502.29145867474, 45960.296875, -103541.99458367474, 300.65829831220753, 26
5000, -148579.46028191692, 45847.625, -102731.83528191692, 299.9212331383842, 26
6000, -148903.54657036907, 45569.0859375, -103334.46063286907, 298.0991152183783, 26
7000, -149615.40734917767, 45528.84375, -104086.56359917767, 297.83586305429816, 26
8000, -149519.66461236126, 45674.8828125, -103844.78179986126, 298.7912062309921, 26
9000, -149782.7949910844, 45936.85546875, -103845.9395223344, 300.5049517545833, 26
10000, -149448.61106927044, 45850.86328125, -103597.74778802044, 299.9424169904539, 26
11000, -149681.80356652386, 45530.85546875, -104150.94809777386, 297.84902310715205, 26.1
12000, -149155.07159478313, 45509.671875, -103645.39971978313, 297.71044647292507, 26.1
13000, -148974.40181023724, 45710.109375, -103264.29243523724, 299.0216477001898, 26.1
14000, -149461.7619329179, 45571.453125, -103890.3088079179, 298.1146006397948, 26.1
15000, -149157.4382787431, 45450.87890625, -103706.5593724931, 297.32584073408105, 26.2
16000, -148634.1887059892, 45485.83203125, -103148.35667473919, 297.5544934582307, 26.2
17000, -148708.66606194622, 45957.12109375, -102751.54496819622, 300.6375233161488, 26.2
18000, -149426.44438225872, 45367.296875, -104059.14750725872, 296.7790724798757, 26.2
19000, -148722.30438286907, 46113.05078125, -102609.25360161907, 301.65756795658297, 26.2
20000, -148813.30822808392, 45330.4609375, -103482.84729058392, 296.5381029683948, 26.2
21000, -149475.5186467851, 46059.51171875, -103416.00692803509, 301.3073316761633, 26.2
22000, -149631.28163201458, 45402.28515625, -104228.99647576458, 297.0079551855315, 26.2
23000, -149530.29663140423, 45606.56640625, -103923.73022515423, 298.34430105747253, 26.2
24000, -149164.0361943925, 45747.1640625, -103416.87213189251, 299.2640482077092, 26.2
25000, -149302.87917382366, 45606.046875, -103696.83229882366, 298.34090244188116, 26.2
26000, -148765.4732824052, 45775.98828125, -102989.4850011552, 299.45260748928047, 26.2
27000, -148739.43273980267, 46266.1171875, -102473.31555230267, 302.65888188101326, 26.2
28000, -150210.2569127763, 45903.78515625, -104306.4717565263, 300.28861581776493, 26.2
29000, -149660.26046044476, 45393.90234375, -104266.35811669476, 296.95311737305667, 26.3
30000, -148736.31622368938, 45311.3125, -103425.00372368938, 296.4128397080259, 26.2
31000, -149448.50868279583, 45742.7109375, -103705.79774529583, 299.2349172169257, 26.2
32000, -149848.1938482011, 45708.9296875, -104139.2641607011, 299.0139305429823, 26.2
33000, -150527.96539361126, 45750.75390625, -104777.21148736126, 299.28753187484074, 26.2
34000, -149355.20384270794, 45303.6484375, -104051.55540520794, 296.3627037396775, 26.2
35000, -148990.89592034466, 45655.52734375, -103335.36857659466, 298.6645886350867, 26.2
36000, -149524.77623040325, 45738.06640625, -103786.70982415325, 299.20453410460857, 26.2
37000, -149731.42205865032, 45617.1796875, -104114.24237115032, 298.41372991883986, 26.2
38000, -148607.50867516643, 45462.3359375, -103145.17273766643, 297.40078915159677, 26.2
39000, -149483.73745782024, 45341.9609375, -104141.77652032024, 296.6133324744182, 26.2
40000, -149744.71342522747, 45618.79296875, -104125.92045647747, 298.4242835146237, 26.2
41000, -150116.5585485185, 45963.359375, -104153.19917351849, 300.67833225674633, 26.2
42000, -149725.17506463177, 45861.49609375, -103863.67897088177, 300.01197361932464, 26.2
