 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.4894567216 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149793.77900750286 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -149665.9699254716, 45871.9765625, -103793.99336297161, 300.0805336616686, 0
2000, -149821.635696956, 45554.17578125, -104267.45991570599, 298.001577506255, 15.5
3000, -149552.3163610185, 45615.6875, -103936.62886101849, 298.40396848157735, 15.5
4000, -149834.8302770341, 45485.3515625, -104349.47871453411, 297.5513503776462, 15.5
5000, -149918.27803094036, 46138.5703125, -103779.70771844036, 301.8245089765728, 15.4
6000, -149362.84150750286, 45211.578125, -104151.26338250286, 295.7604077284787, 15.4
7000, -149034.4022985185, 45214.328125, -103820.07417351849, 295.7783973929626, 15.3
8000, -149443.35810906536, 45244.80078125, -104198.55732781536, 295.9777402518239, 15.3
9000, -148913.8437047685, 45414.66796875, -103499.17573601849, 297.08895978271016, 15.2
10000, -149981.1671910966, 45496.6484375, -104484.51875359661, 297.62525110163375, 15.2
11000, -150301.235306331, 45623.0546875, -104678.18061883099, 298.4521623838735, 15.2
12000, -149633.7499547685, 46010.19140625, -103623.55854851849, 300.98469317648596, 15.2
13000, -149707.01924187786, 45843.109375, -103863.90986687786, 299.8916932915897, 15.2
14000, -149760.56025750286, 46052.3046875, -103708.25557000286, 301.26018546739533, 15.2
15000, -149583.926712581, 45890.515625, -103693.41108758099, 300.2018105759303, 15.2
16000, -149938.73677117474, 45678.29296875, -104260.44380242474, 298.81351443709207, 15.2
17000, -149874.717728206, 45655.2890625, -104219.42866570599, 298.6630298715448, 15.2
18000, -150037.41450554974, 45654.046875, -104383.36763054974, 298.65490385832624, 15.2
19000, -149531.891556331, 45491.59375, -104040.29780633099, 297.5921848717444, 15.1
20000, -149673.1369176591, 45470.2109375, -104202.92598015911, 297.45230500898236, 15.1
21000, -150474.78389031536, 46183.80078125, -104290.98310906536, 302.12039296103063, 15.1
22000, -149908.35493523724, 45820.33984375, -104088.01509148724, 299.74274193608363, 15.1
23000, -150024.1134801591, 46266.1953125, -103757.91816765911, 302.65939295102703, 15.1
24000, -149869.31807000286, 45906.3125, -103963.00557000286, 300.3051489327096, 15.1
