 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.43549125575 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: -0.018742 e
Potential Energy after reinitialization: -152128.47109001063 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152852.8745934286, 45555.4140625, -107297.4605309286, 298.106963423564, 0
2000, -151750.62648551844, 45572.859375, -106177.76711051844, 298.2211226128146, 23.5
3000, -152481.36948173426, 45572.984375, -106908.38510673426, 298.22194059177923, 23.4
4000, -152678.36401908778, 46215.90625, -106462.45776908778, 302.4291131489617, 23.4
5000, -151609.34648673914, 45545.88671875, -106063.45976798914, 298.04461808935395, 23.3
6000, -152014.36127250575, 45426.96875, -106587.39252250575, 297.26643891372566, 23.3
7000, -151742.44273918055, 45747.234375, -105995.20836418055, 299.3622032684677, 23.3
8000, -152347.1284996786, 45375.11328125, -106972.0152184286, 296.9271054526192, 23.3
9000, -152445.3448616781, 44735.125, -107710.21986167811, 292.73912983926283, 23.3
10000, -151806.51936881922, 45548.3984375, -106258.12093131922, 298.0610543541744, 23.3
11000, -152447.25856559657, 45917.6953125, -106529.56325309657, 300.47767095779085, 23.3
12000, -151943.49965446375, 44950.1484375, -106993.35121696375, 294.14620702947514, 23.2
13000, -153050.7766625204, 45318.78125, -107731.9954125204, 296.55847811984205, 23.2
14000, -153060.41390006922, 45739.09375, -107321.32015006922, 299.30893238839644, 23.2
15000, -152781.5658776083, 45566.40625, -107215.15962760829, 298.17889444876585, 23.1
16000, -152887.67073600672, 45231.60546875, -107656.06526725672, 295.9880144775434, 23.1
17000, -152294.39180534266, 45770.9296875, -106523.46211784266, 299.51726140594957, 23.1
18000, -152377.9849449911, 45652.89453125, -106725.0904137411, 298.744859206759, 23.1
19000, -153740.7343956747, 46179.9375, -107560.79689567469, 302.1937397018906, 23.1
20000, -153403.4743553915, 45017.4609375, -108386.01341789149, 294.5866887019261, 23.1
21000, -152735.1488549032, 45615.1796875, -107119.96916740321, 298.4980596160258, 23.1
22000, -151850.02464836024, 45628.07421875, -106221.95042961024, 298.58243925859546, 23.1
23000, -151837.54126518153, 45600.37109375, -106237.17017143153, 298.4011546705603, 23.1
24000, -152680.05656974696, 45289.2578125, -107390.79875724696, 296.3652817131345, 23.1
25000, -152830.71713798426, 45387.4453125, -107443.27182548426, 297.00780418984806, 23
26000, -152815.39874809168, 45131.60546875, -107683.79327934168, 295.33363130584274, 23
27000, -152601.5955864706, 45285.2421875, -107316.35339897059, 296.33900413889586, 23
28000, -152690.32039420985, 45808.734375, -106881.58601920985, 299.76464891906363, 23
29000, -152252.99529045008, 45692.5859375, -106560.40935295008, 299.0045930898703, 23
30000, -151978.74593131922, 45387.375, -106591.37093131922, 297.00734407668045, 23
31000, -152472.00801628016, 45868.6875, -106603.32051628016, 300.15697207997226, 22.9
32000, -152557.48225944422, 45438.55859375, -107118.92366569422, 297.3422809008521, 22.9
33000, -153234.2285362997, 46339.0703125, -106895.15822379969, 303.2350780475446, 22.9
34000, -152156.87665336512, 45668.796875, -106488.07977836512, 298.848921468165, 22.9
35000, -152293.95696037196, 45668.76171875, -106625.19524162196, 298.84869141158117, 22.9
36000, -152484.18993156336, 46206.58984375, -106277.60008781336, 302.36814815425447, 22.9
37000, -152972.41270988368, 45228.359375, -107744.05333488368, 295.9667725863058, 22.9
38000, -152916.08113639735, 45480.625, -107435.45613639735, 297.61755638429133, 22.9
39000, -152837.9175621786, 45196.3125, -107641.6050621786, 295.7570632292498, 22.9
40000, -152897.9806267538, 45364.3359375, -107533.6446892538, 296.85658032876285, 22.9
41000, -152597.48921745204, 45689.5546875, -106907.93452995204, 298.98475709997814, 22.9
42000, -151770.32893913172, 45813.921875, -105956.40706413172, 299.79859504609556, 22.9
43000, -153130.08514945887, 45912.7109375, -107217.37421195887, 300.44505404657644, 22.9
44000, -152623.70528190516, 45999.55859375, -106624.14668815516, 301.0133704940929, 22.9
45000, -151859.63881462, 45950.72265625, -105908.91615837, 300.69379633735065, 22.9
46000, -152483.35133903407, 45753.46875, -106729.88258903407, 299.4029999693284, 22.9
47000, -152652.8137566366, 45817.97265625, -106834.8411003866, 299.825102676918, 22.8
48000, -152554.81148307704, 46020.08984375, -106534.72163932704, 301.1477235390327, 22.8
49000, -152855.01747672938, 45446.30859375, -107408.70888297938, 297.39299559665886, 22.8
50000, -152094.7360741415, 46303.109375, -105791.62669914149, 302.99975572415883, 22.8
51000, -151592.34254997157, 45241.35546875, -106350.98708122157, 296.0518168367842, 22.8
52000, -151543.9075066366, 45749.0859375, -105794.8215691366, 299.3743195818812, 22.8
53000, -152133.90118186854, 45639.4453125, -106494.45586936854, 298.65684978253375, 22.8
54000, -152723.81886833094, 45233.0, -107490.81886833094, 295.99714005536754, 22.8
55000, -152664.44493644618, 45617.3203125, -107047.12462394618, 298.512067505795, 22.8
56000, -152701.1780297079, 45780.03125, -106921.1467797079, 299.5768204993114, 22.8
57000, -153117.64320915125, 45946.4140625, -107171.22914665125, 300.6656016249137, 22.8
58000, -152049.52162712, 46105.6015625, -105943.92006462, 301.70729783636466, 22.8
59000, -152201.79671256922, 46131.6875, -106070.10921256922, 301.8779998215451, 22.8
60000, -151768.65337150477, 45378.8984375, -106389.75493400477, 296.9518748781418, 22.8
61000, -152928.9549462118, 45270.97265625, -107657.9822899618, 296.24562672771526, 22.8
62000, -152917.1657463827, 45489.6875, -107427.4782463827, 297.6768598592267, 22.8
63000, -153239.17006462, 45339.4609375, -107899.70912712, 296.6938025148023, 22.8
64000, -152305.35286491297, 45241.109375, -107064.24348991297, 296.05020644069765, 22.8
65000, -152556.2348229208, 46589.55859375, -105966.67622917079, 304.8742312071269, 22.8
66000, -152506.52571647547, 45569.1328125, -106937.39290397547, 298.19673661493175, 22.8
67000, -152335.10011833094, 45511.71875, -106823.38136833094, 297.82102865174204, 22.8
68000, -152043.52654045008, 45600.015625, -106443.51091545008, 298.3988285428796, 22.8
69000, -152956.69083183192, 45186.23828125, -107770.45255058192, 295.69113923706954, 22.8
70000, -152571.70464103602, 45672.90625, -106898.79839103602, 298.87581252662704, 22.8
71000, -152931.2597557821, 45752.859375, -107178.40038078211, 299.3990123218759, 22.8
72000, -152051.66580741786, 45310.6875, -106740.97830741786, 296.50551398188253, 22.8
73000, -152069.69557731532, 45648.9140625, -106420.78151481532, 298.7188116891042, 22.8
74000, -152967.18379753016, 45920.04296875, -107047.14082878016, 300.4930336252203, 22.8
75000, -152154.81422965907, 45632.8828125, -106521.93141715907, 298.6139058868909, 22.8
76000, -152053.69801872157, 45134.9609375, -106918.73708122157, 295.3555889286744, 22.8
77000, -152512.38218467616, 45690.91796875, -106821.46421592616, 298.9936781830611, 22.8
78000, -151791.98344962977, 45036.6171875, -106755.36626212977, 294.71204397825505, 22.8
79000, -152556.22954337977, 45800.6640625, -106755.56548087977, 299.71183815215994, 22.8
80000, -152844.76105277918, 45933.8515625, -106910.90949027918, 300.58339473896876, 22.8
81000, -151837.15461509608, 45333.8359375, -106503.31867759608, 296.6569934613941, 22.8
82000, -151127.34534232997, 45982.328125, -105145.01721732997, 300.90061720618775, 22.8
83000, -152155.61351554774, 45339.4375, -106816.17601554774, 296.6936491437465, 22.8
84000, -152230.2116448202, 45282.546875, -106947.6647698202, 296.3213664674711, 22.8
85000, -152615.18757408045, 45749.390625, -106865.79694908045, 299.3763134056075, 22.8
86000, -152353.03619926356, 45848.1875, -106504.84869926356, 300.0228235297737, 22.8
87000, -153460.13150566004, 45137.66015625, -108322.47134941004, 295.3732521619418, 22.8
88000, -152971.04475944422, 45434.42578125, -107536.61897819422, 297.3152364713342, 22.8
89000, -152805.4319206991, 45871.125, -106934.3069206991, 300.17292266978245, 22.8
90000, -152500.56401603602, 45556.2734375, -106944.29057853602, 298.1125870289458, 22.8
91000, -151914.1501061239, 46064.8046875, -105849.34541862391, 301.4403299517849, 22.8
92000, -151957.68971794032, 45596.7109375, -106360.97878044032, 298.3772032240023, 22.8
93000, -152527.68774955653, 44947.7265625, -107579.96118705653, 294.1303586870355, 22.8
94000, -152955.13515251063, 45892.26953125, -107062.86562126063, 300.3112889240175, 22.8
95000, -152888.91371696375, 45811.9765625, -107076.93715446375, 299.78586524845855, 22.8
96000, -152536.5894219198, 45656.58984375, -106879.99957816981, 298.7690407099007, 22.8
97000, -152563.1422936239, 45116.50390625, -107446.63838737391, 295.23480922217885, 22.8
98000, -152981.51224296473, 44783.04296875, -108198.46927421473, 293.0526969629836, 22.8
99000, -152719.79057853602, 45408.02734375, -107311.76323478602, 297.1424895387422, 22.8
100000, -152614.47632377528, 45433.46875, -107181.00757377528, 297.30897381988626, 22.8
101000, -152246.43452995204, 45488.78125, -106757.65327995204, 297.67092951173316, 22.8
102000, -153538.7138878622, 45693.5234375, -107845.19045036219, 299.01072793210506, 22.8
103000, -151938.94453971766, 45681.11328125, -106257.83125846766, 298.92951795802327, 22.8
104000, -152438.57877128504, 45386.9453125, -107051.63345878504, 297.0045322739895, 22.8
105000, -153153.1879174032, 46129.21484375, -107023.97307365321, 301.861819175151, 22.8
106000, -152559.5025231161, 45605.74609375, -106953.7564293661, 298.4363277660392, 22.8
107000, -152656.1071373739, 45232.265625, -107423.84151237391, 295.99233442895036, 22.8
108000, -152761.63991325282, 45689.8203125, -107071.81960075282, 298.98649530527797, 22.8
109000, -151404.24103324793, 45737.6796875, -105666.56134574793, 299.2996790013591, 22.8
110000, -151570.87383048914, 45397.546875, -106173.32695548914, 297.0739071149269, 22.8
111000, -153008.70952384852, 45847.71875, -107160.99077384852, 300.0197561086563, 22.8
112000, -152801.70861595057, 46069.34765625, -106732.36095970057, 301.4700583747806, 22.8
113000, -153090.96985404872, 45495.7734375, -107595.19641654872, 297.71668521006694, 22.8
114000, -152041.90462272547, 45523.5625, -106518.34212272547, 297.8985321586403, 22.8
115000, -153002.68147819422, 45843.5859375, -107159.09554069422, 299.9927116791384, 22.8
116000, -152013.53107231043, 45514.421875, -106499.10919731043, 297.83871744685206, 22.8
117000, -152180.55202262782, 45758.21875, -106422.33327262782, 299.4340831699842, 22.8
118000, -151677.0189873495, 45461.0703125, -106215.9486748495, 297.48959380001264, 22.8
119000, -152821.9087731161, 45358.546875, -107463.3618981161, 296.8186976779636, 22.8
120000, -152434.2135826864, 45525.74609375, -106908.46748893641, 297.91282122867864, 22.8
121000, -152015.22109001063, 45342.515625, -106672.70546501063, 296.71379187575036, 22.8
122000, -152800.93797843836, 45538.046875, -107262.89110343836, 297.9933154711663, 22.8
123000, -152840.98753898524, 45570.86328125, -107270.12425773524, 298.20806051122327, 22.8
124000, -150940.3230950155, 45565.0390625, -105375.28403251551, 298.1699478038402, 22.8
125000, -151546.93953483485, 46021.93359375, -105525.00594108485, 301.15978872876093, 22.8
126000, -152509.57329337977, 45961.81640625, -106547.75688712977, 300.7663919704612, 22.8
127000, -153223.09651725672, 45378.0546875, -107845.04182975672, 296.9463535201306, 22.8
128000, -152510.75792472743, 46208.62109375, -106302.13683097743, 302.3814403124296, 22.8
129000, -152611.8129479208, 45872.34375, -106739.46919792079, 300.18089796468763, 22.8
130000, -152148.77934806727, 45572.34375, -106576.43559806727, 298.21774844958554, 22.8
131000, -151920.92513053797, 45195.2109375, -106725.71419303797, 295.74985478962407, 22.8
132000, -152720.15720146082, 45764.6484375, -106955.50876396082, 299.4761579629771, 22.8
133000, -153128.99547355555, 45796.90625, -107332.08922355555, 299.68724765953584, 22.8
134000, -152015.0530297079, 45718.46875, -106296.5842797079, 299.1739658592332, 22.8
135000, -151635.5170418539, 45672.36328125, -105963.15376060389, 298.87225943049947, 22.8
136000, -151542.13286369227, 45887.8046875, -105654.32817619227, 300.28207173787473, 22.8
137000, -151969.06422965907, 46037.05859375, -105932.00563590907, 301.25876418348065, 22.8
138000, -151751.47806327723, 45455.06640625, -106296.41165702723, 297.45030524786796, 22.8
139000, -152658.0739342489, 45670.83203125, -106987.24190299891, 298.8622391881828, 22.8
140000, -152848.85416191004, 45855.21875, -106993.63541191004, 300.06883484653383, 22.8
141000, -152698.2318932333, 45364.7109375, -107333.52095573329, 296.85903426565676, 22.8
142000, -152416.01793449305, 45841.37890625, -106574.63902824305, 299.97826923804416, 22.8
143000, -152597.63942497157, 45379.390625, -107218.24879997157, 296.95509567031496, 22.8
144000, -152813.12770622157, 45142.140625, -107670.98708122157, 295.40257159545513, 22.8
145000, -152435.17195670985, 45393.59765625, -107041.57430045985, 297.04806409201325, 22.8
146000, -152424.30215995692, 45613.234375, -106811.06778495692, 298.4853298183888, 22.8
147000, -151714.7592064657, 45082.23828125, -106632.52092521571, 295.01058073850083, 22.8
148000, -152284.76868217372, 45699.5, -106585.26868217372, 299.0498375513512, 22.8
149000, -152940.06436698817, 45767.5625, -107172.50186698817, 299.49522709759, 22.8
150000, -153095.15566032313, 45675.21875, -107419.93691032313, 298.8909451374726, 22.8
151000, -152997.44562309168, 46019.48828125, -106977.95734184168, 301.14378701526545, 22.8
152000, -152919.09673087977, 45788.3515625, -107130.74516837977, 299.63126722414427, 22.7
153000, -152799.1704918661, 46069.52734375, -106729.6431481161, 301.47123421954217, 22.7
154000, -152501.58640067957, 45264.6171875, -107236.96921317957, 296.20403760973255, 22.7
155000, -152522.15462272547, 45840.76171875, -106681.39290397547, 299.97423046690636, 22.7
156000, -152432.1314217367, 45211.328125, -107220.8032967367, 295.85532295237556, 22.7
157000, -152820.6067406454, 45657.2890625, -107163.3176781454, 298.7736162797341, 22.7
158000, -152374.5482994833, 45214.35546875, -107160.19283073329, 295.87513338042504, 22.7
159000, -152500.7036949911, 45135.859375, -107364.8443199911, 295.36146815248264, 22.7
160000, -152837.64222495936, 46229.921875, -106607.72034995936, 302.5208290403704, 22.7
161000, -151884.92278068446, 45712.75, -106172.17278068446, 299.13654332160155, 22.7
162000, -153098.38229911707, 45528.7109375, -107569.67136161707, 297.9322226672458, 22.7
163000, -152503.68857353114, 45946.5390625, -106557.14951103114, 300.6664196038783, 22.7
164000, -152253.26851432704, 45326.703125, -106926.56538932704, 296.6103175367252, 22.7
165000, -152756.44762199305, 45301.96875, -107454.47887199305, 296.44845994909986, 22.7
166000, -152724.45546501063, 45643.82421875, -107080.63124626063, 298.68550460813833, 22.7
167000, -152976.5750481405, 45176.5703125, -107800.00473564051, 295.62787367652425, 22.7
168000, -152984.29988639735, 46258.4140625, -106725.88582389735, 302.7072771206198, 22.7
169000, -152678.6063133993, 45886.84765625, -106791.7586571493, 300.2758090864268, 22.7
170000, -152201.33711784266, 45569.80859375, -106631.52852409266, 298.20115881370924, 22.7
171000, -152071.49927299403, 45194.953125, -106876.54614799403, 295.74816770800953, 22.7
172000, -152656.6139733114, 45616.52734375, -107040.08662956141, 298.50687845173815, 22.7
173000, -151022.02336662196, 45372.828125, -105649.19524162196, 296.9121517746721, 22.7
174000, -152046.43831413172, 46000.296875, -106046.14143913172, 301.0182016823527, 22.7
175000, -152270.09859245204, 45377.2265625, -106892.87202995204, 296.9409344094899, 22.7
176000, -152812.20171134852, 45868.66796875, -106943.53374259852, 300.15684427075905, 22.7
177000, -151997.38069694422, 45912.4453125, -106084.93538444422, 300.4433158412766, 22.7
178000, -152547.22325675868, 45442.3828125, -107104.84044425868, 297.3673059448011, 22.7
179000, -152538.27992790125, 46117.359375, -106420.92055290125, 301.78423898272484, 22.7
180000, -152621.21956413172, 44952.30078125, -107668.91878288172, 294.1602916047722, 22.7
181000, -152859.52431266688, 45775.375, -107084.14931266688, 299.54635078287913, 22.7
182000, -152500.4382073202, 45703.9453125, -106796.4928948202, 299.0789269282807, 22.7
183000, -152882.51276939295, 45516.265625, -107366.24714439295, 297.8507826365803, 22.7
184000, -153378.22624748133, 45569.1171875, -107809.10905998133, 298.19663436756116, 22.7
185000, -153183.83046501063, 45505.14453125, -107678.68593376063, 297.7780080705713, 22.7
186000, -153526.41899650477, 45928.6875, -107597.73149650477, 300.54960198299267, 22.8
187000, -152199.5894371786, 45753.2265625, -106446.3628746786, 299.40141513508445, 22.8
188000, -151365.24577873133, 45336.1328125, -106029.11296623133, 296.67202382486914, 22.8
189000, -151704.65999381922, 45996.80859375, -105707.85140006922, 300.9953749568711, 22.8
190000, -152307.72162406825, 45893.5859375, -106414.13568656825, 300.3199032649887, 22.8
191000, -151520.97206657313, 45462.69140625, -106058.28066032313, 297.5002019647102, 22.8
192000, -151298.0210778036, 45953.3671875, -105344.6538903036, 300.71110170482103, 22.8
193000, -151505.94884269618, 45346.1796875, -106159.76915519618, 296.7377688841509, 22.8
194000, -152935.72261588954, 45530.890625, -107404.83199088954, 297.9464861754415, 22.8
195000, -152890.0893151083, 46068.4609375, -106821.62837760829, 301.4642558365003, 22.8
196000, -152929.7832237997, 45548.65625, -107381.12697379969, 298.062741435789, 22.8
197000, -152090.3874108114, 45842.78125, -106247.60616081141, 299.98744593955354, 22.8
198000, -153269.69496696375, 45487.12109375, -107782.57387321375, 297.66006572860925, 22.8
199000, -153038.34002464198, 45160.0, -107878.34002464198, 295.51944034002605, 22.8
200000, -153690.90218131922, 45852.3359375, -107838.56624381922, 300.0499702066622, 22.8
201000, -153253.52644889735, 45267.6953125, -107985.83113639735, 296.2241803417365, 22.8
202000, -153319.71559684657, 45889.1171875, -107430.59840934657, 300.2906605170033, 22.8
203000, -153488.7449700155, 45905.125, -107583.61997001551, 300.3954129481607, 22.8
204000, -153693.73349540614, 45468.453125, -108225.28037040614, 297.5379056826109, 22.8
205000, -152790.90495841883, 45410.0234375, -107380.88152091883, 297.15555164033356, 22.8
206000, -152735.26503532313, 45653.7265625, -107081.53847282313, 298.75030387924227, 22.8
207000, -153144.07886283778, 45670.2421875, -107473.83667533778, 298.85837934994345, 22.8
208000, -152671.17184989832, 45753.09765625, -106918.07419364832, 299.4005715942772, 22.8
209000, -152500.53649680995, 45306.6484375, -107193.88805930995, 296.47908303658807, 22.8
210000, -152478.3584038534, 45728.7734375, -106749.5849663534, 299.2413980001295, 22.8
211000, -152017.543111495, 44619.1328125, -107398.410298995, 291.98009648377524, 22.8
212000, -152980.98473136805, 45429.5546875, -107551.43004386805, 297.2833608535564, 22.8
213000, -152564.88712089442, 45418.7421875, -107146.14493339442, 297.21260567311623, 22.8
214000, -153347.63725822352, 45948.04296875, -107399.59428947352, 300.67626091329646, 22.8
215000, -152989.66823356532, 45520.609375, -107469.05885856532, 297.87920740560105, 22.8
216000, -151202.06328361414, 46103.7265625, -105098.33672111414, 301.6950281518953, 22.8
217000, -151428.67372672938, 45422.4765625, -106006.19716422938, 297.23704279468444, 22.8
218000, -151857.8267418661, 45300.7421875, -106557.0845543661, 296.4404335305095, 22.8
219000, -152607.3903404989, 45416.6171875, -107190.77315299891, 297.19870003071765, 22.8
220000, -153028.66133659266, 45611.203125, -107417.45821159266, 298.47203766021363, 22.8
221000, -153242.9004112997, 45698.375, -107544.52541129969, 299.04247574066954, 22.8
222000, -152720.65730827235, 45882.3515625, -106838.30574577235, 300.2463874055429, 22.8
223000, -152479.08815544032, 45901.69921875, -106577.38893669032, 300.3729952121614, 22.8
224000, -152471.71812980555, 45654.4296875, -106817.28844230555, 298.75490501091826, 22.8
225000, -152675.85414665125, 45412.10546875, -107263.74867790125, 297.16917610246315, 22.8
226000, -152848.5595909872, 45986.02734375, -106862.53224723719, 300.92482427117216, 22.8
227000, -152248.01169364832, 45546.0546875, -106701.95700614832, 298.0457172485877, 22.8
228000, -152340.07732170008, 45311.2578125, -107028.81950920008, 296.5092460109086, 22.8
229000, -151823.01350944422, 44806.953125, -107016.06038444422, 293.2091610018109, 22.8
230000, -151928.86433952235, 45603.328125, -106325.53621452235, 298.4205049854422, 22.8
231000, -152377.78047721766, 45355.4765625, -107022.30391471766, 296.79860606964496, 22.8
232000, -152034.570455245, 45588.01953125, -106446.550923995, 298.3203281241182, 22.8
233000, -152228.97807853602, 45987.65234375, -106241.32573478602, 300.93545799771226, 22.8
234000, -152774.2760826864, 45436.1953125, -107338.08077018641, 297.32681598605217, 22.8
235000, -152200.60278861903, 45838.59375, -106362.00903861903, 299.9600436442386, 22.8
236000, -152276.08167045497, 45561.9375, -106714.14417045497, 298.14965170078045, 22.8
237000, -152378.42071311854, 45420.21875, -106958.20196311854, 297.22226804963594, 22.8
238000, -151837.95432060145, 46041.9453125, -105796.00900810145, 301.290742048629, 22.8
239000, -152467.91760795497, 46614.1953125, -105853.72229545497, 305.0354497486861, 22.8
240000, -151861.49286430262, 45668.7265625, -106192.76630180262, 298.84846135499737, 22.8
241000, -152124.52368705653, 46296.65234375, -105827.87134330653, 302.9575019982674, 22.8
242000, -151928.91219108485, 45986.05859375, -105942.85359733485, 300.92502876591334, 22.8
243000, -152979.96339958094, 45495.15234375, -107484.81105583094, 297.71262087708647, 22.8
244000, -153153.83086173914, 45713.5859375, -107440.24492423914, 299.14201355592746, 22.8
245000, -152721.55573051356, 45375.2578125, -107346.29791801356, 296.928051240797, 22.8
246000, -152265.32539909266, 45336.6328125, -106928.69258659266, 296.6752957407277, 22.8
247000, -152326.39931266688, 46231.3984375, -106095.00087516688, 302.53049141689, 22.8
248000, -152372.414785079, 45471.96484375, -106900.44994132899, 297.56088577914835, 22.8
249000, -151703.28175895594, 45120.6171875, -106582.66457145594, 295.2617258424836, 22.8
250000, -152124.90675895594, 45361.171875, -106763.73488395594, 296.8358752362207, 22.8
251000, -152029.94124381922, 45490.078125, -106539.86311881922, 297.6794160434912, 22.8
252000, -152356.70903556727, 45672.578125, -106684.13091056727, 298.8736653318449, 22.8
253000, -152633.4549614706, 45633.5390625, -106999.91589897059, 298.6182002764552, 22.8
254000, -152253.04558341883, 45246.4453125, -107006.60027091883, 296.0851239177501, 22.8
255000, -153440.54488151454, 45680.11328125, -107760.43160026454, 298.92297412630626, 22.8
256000, -152911.3277184286, 45461.8359375, -107449.4917809286, 297.494603921171, 22.8
257000, -152430.54810111903, 45504.140625, -106926.40747611903, 297.77143867701153, 22.8
258000, -152232.859517745, 45233.6796875, -106999.179830245, 296.0015878159877, 22.8
259000, -152292.7074791708, 45558.9296875, -106733.77779167079, 298.1299690819442, 22.8
260000, -151935.1587731161, 45263.4375, -106671.7212731161, 296.1963179332539, 22.8
261000, -151077.9536797323, 44791.2265625, -106286.72711723231, 293.1062490233239, 22.8
262000, -152580.5796715536, 45836.296875, -106744.2827965536, 299.9450132807636, 22.8
263000, -152612.88777702235, 45462.55859375, -107150.32918327235, 297.49933286206027, 22.8
264000, -152753.8776451864, 46041.625, -106712.25264518641, 301.28864597753216, 22.8
