 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.43044059657 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: -0.17804899999999999 e
Potential Energy after reinitialization: -152490.31233756922 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152996.99104850672, 46018.3125, -106978.67854850672, 301.1360929006294, 0
2000, -152987.6801354208, 45818.1328125, -107169.54732292079, 299.8261507124664, 13.4
3000, -152599.88496940516, 45340.5390625, -107259.34590690516, 296.7008575833722, 16.6
4000, -152764.6935173788, 45568.65625, -107196.0372673788, 298.19361807012905, 18
5000, -152316.36656730555, 45642.8359375, -106673.53062980555, 298.67903746194924, 18.8
6000, -152272.0029503622, 45323.96484375, -106948.03810661219, 296.59239868503136, 19.2
7000, -152218.3717858114, 46223.17578125, -105995.19600456141, 302.47668373812326, 19.5
8000, -151722.71281974696, 45102.4453125, -106620.26750724696, 295.14281215050113, 18.7
9000, -153071.39967887782, 45539.4140625, -107531.98561637782, 298.0022621160919, 19
10000, -153496.16774528407, 45748.52734375, -107747.64040153407, 299.37066423838303, 18.8
11000, -152826.24910514735, 45330.05078125, -107496.19832389735, 296.63222403587156, 19
12000, -152117.0184227743, 45012.3203125, -107104.6981102743, 294.5530493170059, 19.1
13000, -153029.39171378993, 46066.21875, -106963.17296378993, 301.44958333882226, 18.6
14000, -153216.74336784266, 45823.5078125, -107393.23555534266, 299.8613238079453, 17
15000, -152568.17860954188, 45156.7578125, -107411.42079704188, 295.4982240106311, 17.3
16000, -152759.81004875086, 45077.96875, -107681.84129875086, 294.98264164449034, 15
17000, -152943.4151818075, 45383.12890625, -107560.2862755575, 296.9795583537258, 15.3
18000, -152931.2294976034, 46424.5234375, -106506.7060601034, 303.794268917237, 15.6
19000, -153329.95738761805, 45930.3203125, -107399.63707511805, 300.56028683321813, 15.8
20000, -153116.3854729452, 45889.67578125, -107226.7096916952, 300.29431586050146, 16.1
21000, -152765.9599816122, 44773.84765625, -107992.11232536219, 292.9925243853983, 15.9
22000, -152279.31885307215, 45351.046875, -106928.27197807215, 296.7696189400861, 16
