 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.48994500286 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149767.86009270794 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -148565.02708489544, 45515.7421875, -103049.28489739544, 297.750156612993, 0
2000, -149877.6812902177, 45596.7890625, -104280.8922277177, 298.2803406452524, 21.2
3000, -149906.08540398724, 45169.96484375, -104736.12056023724, 295.4881862856573, 21.1
4000, -149433.11589104778, 45727.1953125, -103705.92057854778, 299.1334187121959, 21
5000, -149139.16545159466, 45591.7421875, -103547.42326409466, 298.24732552236446, 20.7
6000, -149760.8341832841, 45578.01171875, -104182.82246453411, 298.1575049674487, 20.2
7000, -148887.2799230302, 45487.609375, -103399.6705480302, 297.5661203010434, 19.7
8000, -149248.4405065263, 45589.17578125, -103659.2647252763, 298.2305368724129, 19.5
9000, -148823.75196892864, 45102.87890625, -103720.87306267864, 295.04933046485434, 19.1
10000, -149285.711578914, 45790.765625, -103494.945953914, 299.54927638238036, 18.8
11000, -149893.996735164, 45365.421875, -104528.574860164, 296.76680679954586, 18.5
12000, -149135.31520135052, 45308.19921875, -103827.11598260052, 296.39247356797813, 18.2
13000, -148509.4480443681, 45658.1875, -102851.2605443681, 298.68199056905473, 18
14000, -148873.03122002727, 45571.3984375, -103301.63278252727, 298.11424289078514, 17.9
15000, -149360.41481072552, 45630.125, -103730.28981072552, 298.49841422011747, 17.8
16000, -150171.91839654095, 45543.2109375, -104628.70745904095, 297.92984882982586, 17.7
17000, -149785.1495061601, 45596.984375, -104188.16513116009, 298.2816183202867, 17.6
18000, -149562.9737096513, 46198.21875, -103364.7549596513, 302.21471093206725, 17.6
19000, -149788.9314428056, 45990.015625, -103798.9158178056, 300.8527093454362, 17.5
20000, -149692.31697137005, 45466.4375, -104225.87947137005, 297.42762032731844, 17.5
21000, -150086.07264763958, 45399.83984375, -104686.23280388958, 296.99195869410136, 17.4
22000, -150029.54315240032, 45384.8984375, -104644.64471490032, 296.8942165539725, 17.4
23000, -149319.50502068645, 46056.515625, -103262.98939568645, 301.2877321411362, 17.4
24000, -149419.4307409013, 45998.8984375, -103420.5323034013, 300.91081800599903, 17.4
