 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.4287316122 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 0.95
AmoebaElecCharge: -0.0 e
Potential Energy after reinitialization: -152114.26471488856 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152557.71449821375, 46256.25390625, -106301.46059196375, 302.6931414216374, 0
2000, -152308.75717704676, 45136.8671875, -107171.88998954676, 295.368063107885, 23.3
3000, -152265.88118522547, 45446.40234375, -106819.47884147547, 297.39360908088236, 23.1
4000, -152128.88103263758, 45508.1953125, -106620.68572013758, 297.7979718696766, 23.3
5000, -152880.33687370204, 45915.52734375, -106964.80952995204, 300.46348413512317, 23.2
6000, -152647.79024284266, 45817.76171875, -106830.02852409266, 299.8237223374152, 23.1
7000, -152307.82341545008, 45532.796875, -106775.02654045008, 297.95896035465205, 23.2
8000, -153135.15645378016, 46133.1796875, -107001.97676628016, 301.8877644454353, 23.2
9000, -152125.41396110438, 45130.3359375, -106995.07802360438, 295.3253237069833, 23.2
10000, -152644.87665336512, 45579.0859375, -107065.79071586512, 298.2618681899901, 23.1
11000, -153403.29823844813, 45672.390625, -107730.90761344813, 298.8724383633979, 23.1
12000, -152904.29503410243, 45150.9765625, -107753.31847160243, 295.4603924835171, 23
13000, -153246.9433800497, 45964.87109375, -107282.07228629969, 300.78638133140925, 22.9
14000, -153096.78429191493, 45204.5625, -107892.22179191493, 295.8110498409152, 23
15000, -151883.274160079, 45644.203125, -106239.07103507899, 298.68798410687486, 23
16000, -152460.23433463954, 45331.484375, -107128.74995963954, 296.6416052321221, 23
17000, -151728.32558219813, 45458.6796875, -106269.64589469813, 297.4739499523142, 23
18000, -152855.38471000575, 45719.234375, -107136.15033500575, 299.1789759803915, 23
19000, -152598.45264213465, 45594.7578125, -107003.69482963465, 298.36442230268, 23
20000, -153256.82529228114, 45311.66796875, -107945.15732353114, 296.51193000438633, 23
21000, -153724.26204460047, 45422.17578125, -108302.08626335047, 297.23507453280087, 23
22000, -152959.46101920985, 46004.3125, -106955.14851920985, 301.04447925659133, 22.9
23000, -152080.82677238368, 45211.984375, -106868.84239738368, 295.85961734193984, 22.9
24000, -153672.30757682704, 45255.96875, -108416.33882682704, 296.14744369011754, 22.9
25000, -152721.95320670985, 45325.78125, -107396.17195670985, 296.60428494186107, 22.8
26000, -152443.21671836756, 45078.97265625, -107364.24406211756, 294.98921103805, 22.8
27000, -152219.56526725672, 46128.765625, -106090.79964225672, 301.85887956324694, 22.8
28000, -152603.66177909754, 45704.765625, -106898.89615409754, 299.08429491523606, 22.7
29000, -152109.29711692713, 45620.62109375, -106488.67602317713, 298.5336672628296, 22.7
30000, -152417.0870568075, 45699.3828125, -106717.7042443075, 299.04907069607185, 22.7
31000, -151754.14336173914, 45745.8203125, -106008.32304923914, 299.35294988143033, 22.7
32000, -152375.7886559286, 46542.6328125, -105833.1558434286, 304.5671567914378, 22.7
33000, -152153.71739738368, 45328.12890625, -106825.58849113368, 296.61964760929044, 22.7
34000, -152026.18714683436, 45420.8203125, -106605.36683433436, 297.22620457340315, 22.7
35000, -152082.83647697352, 45585.8984375, -106496.93803947352, 298.30644804356217, 22.7
36000, -151488.2879540243, 45821.6640625, -105666.6238915243, 299.8492586182171, 22.7
37000, -151838.8953911581, 45907.5, -105931.39539115809, 300.4109545484886, 22.7
38000, -152519.79543083094, 45976.0078125, -106543.78761833094, 300.85925814478884, 22.7
39000, -152973.21577995204, 45996.5625, -106976.65327995204, 300.99376456078454, 22.7
40000, -152594.451894454, 45509.95703125, -107084.49486320399, 297.80950026070934, 22.7
41000, -153214.43405692957, 46242.30859375, -106972.12546317957, 302.6018856433963, 22.7
42000, -152761.19499748133, 45092.70703125, -107668.48796623133, 295.0790864767883, 22.7
43000, -152308.21285026454, 45729.8515625, -106578.36128776454, 299.2484530686994, 22.7
44000, -152420.0711571493, 45768.47265625, -106651.5985008993, 299.5011830069261, 22.7
45000, -151869.3599449911, 45838.265625, -106031.0943199911, 299.9578964494565, 22.7
46000, -151796.75990837, 45698.0078125, -106098.75209587, 299.040072927461, 22.7
47000, -152242.7221123495, 45956.9140625, -106285.8080498495, 300.73431185794226, 22.7
48000, -152333.44032829188, 45619.0703125, -106714.37001579188, 298.52351921129974, 22.7
49000, -153145.5117394247, 45623.953125, -107521.55861442469, 298.5554715146054, 22.7
