 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.4327599325 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 0.6625
AmoebaElecCharge: -0.0 e
Potential Energy after reinitialization: -152154.8272911825 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -151978.4034630575, 45908.078125, -106070.3253380575, 300.41473770119995, 0
2000, -151430.980611495, 46288.2109375, -105142.769673995, 302.9022628563125, 16.4
3000, -152565.230611495, 45647.4609375, -106917.769673995, 298.7093026836404, 16.6
4000, -152419.24208610438, 45497.953125, -106921.28896110438, 297.7309487182626, 16.5
5000, -152385.2374474325, 46118.24609375, -106266.9913536825, 301.79004152100515, 16.5
6000, -152463.55067985438, 45938.45703125, -106525.09364860438, 300.6135321514467, 16.5
7000, -152490.10585563563, 45515.5859375, -106974.51991813563, 297.8463348759601, 16.4
8000, -152765.48573844813, 45460.7734375, -107304.71230094813, 297.48765109997174, 16.4
9000, -152408.68984001063, 45912.828125, -106495.86171501063, 300.44582090185577, 16.4
10000, -151525.9620568075, 45374.44140625, -106151.5206505575, 296.92270881568436, 16.3
11000, -152492.4327599325, 46667.828125, -105824.6046349325, 305.3864138481959, 16.3
12000, -152980.24965446375, 45950.671875, -107029.57777946375, 300.69346403339625, 16.4
13000, -152244.92738883875, 46286.72265625, -105958.20473258875, 302.8925237942649, 16.4
14000, -151504.1651818075, 45474.87890625, -106029.2862755575, 297.5799549137612, 16.4
15000, -152500.31825797938, 45762.8515625, -106737.46669547938, 299.46439951536064, 16.4
16000, -151552.6183068075, 45646.796875, -105905.8214318075, 298.7049571703908, 16.4
17000, -152787.156392745, 45929.76171875, -106857.394673995, 300.55663148971996, 16.4
18000, -152337.67909782313, 45253.1015625, -107084.57753532313, 296.1286812976164, 16.4
19000, -151752.160298995, 45251.359375, -106500.800923995, 296.11728071579694, 16.4
20000, -152906.95692985438, 45694.90625, -107212.05067985438, 299.01977682440116, 16.5
21000, -151878.36879508875, 45011.359375, -106867.00942008875, 294.5467611037153, 16.5
22000, -151870.07021110438, 45836.921875, -106033.14833610438, 299.94910317558674, 16.5
23000, -151798.05531852625, 45601.87890625, -106196.17641227625, 298.411021541821, 16.5
24000, -152485.29482047938, 45332.80859375, -107152.48622672938, 296.65027069677865, 16.5
25000, -152342.94887321375, 45707.984375, -106634.96449821375, 299.10535787357514, 16.5
26000, -152247.312642745, 45730.9375, -106516.375142745, 299.2555592609546, 16.5
27000, -152075.4386193075, 45348.5078125, -106726.9308068075, 296.7530037423671, 16.5
28000, -151832.34950797938, 46329.65625, -105502.69325797938, 303.17347400677124, 16.5
29000, -152350.38930290125, 45787.7578125, -106562.63149040125, 299.62738182406235, 16.5
30000, -151907.91225212, 45418.5234375, -106489.38881462, 297.2111742099282, 16.5
31000, -153117.19667594813, 45283.921875, -107833.27480094813, 296.330364236082, 16.5
32000, -153048.1183068075, 46239.21875, -106808.8995568075, 302.58166622586447, 16.5
33000, -152452.43105094813, 45310.875, -107141.55605094813, 296.5067409503294, 16.5
34000, -152810.4229943075, 45396.2109375, -107414.2120568075, 297.06516496474245, 16.5
35000, -152894.26942985438, 45616.1015625, -107278.16786735438, 298.5040922108899, 16.5
36000, -152576.38857047938, 45644.13671875, -106932.25185172938, 298.6875495555499, 16.5
37000, -152909.281392745, 45785.34375, -107123.937642745, 299.611584605308, 16.5
38000, -151568.58949821375, 44974.3046875, -106594.28481071375, 294.304281464389, 16.5
39000, -153332.56337516688, 45378.0078125, -107954.55556266688, 296.9460467780188, 16.5
40000, -152873.94374626063, 45767.25390625, -107106.68984001063, 299.49320771202105, 16.5
41000, -152508.44862907313, 45381.8203125, -107126.62831657313, 296.97099513643985, 16.5
42000, -152399.1632286825, 45852.0390625, -106547.1241661825, 300.04802750662117, 16.5
43000, -152266.69911735438, 45743.96875, -106522.73036735438, 299.3408335680168, 16.5
44000, -151631.98207633875, 45606.98046875, -106025.00160758875, 298.44440530831486, 16.5
45000, -151445.77113883875, 45545.51171875, -105900.25942008875, 298.0421641524601, 16.5
46000, -151805.38539665125, 45514.0390625, -106291.34633415125, 297.8362123862729, 16.5
47000, -151935.63466422938, 45388.33203125, -106547.30263297938, 297.01360672812837, 16.5
48000, -153612.17397087, 46309.6796875, -107302.49428337, 303.042750743487, 16.5
49000, -153148.45595329188, 45405.8125, -107742.64345329188, 297.12799597396275, 16.5
50000, -152847.0929161825, 45358.5703125, -107488.5226036825, 296.8188510490195, 16.5
51000, -152311.63051383875, 45683.47265625, -106628.15785758875, 298.9449573109806, 16.5
52000, -151301.70009391688, 45277.5625, -106024.13759391688, 296.2887495562567, 16.5
53000, -151989.80800407313, 45803.8125, -106185.99550407313, 299.7324409973315, 16.5
54000, -152496.44667594813, 46068.49609375, -106427.95058219813, 301.46448589308403, 16.5
55000, -152357.78603141688, 45550.734375, -106807.05165641688, 298.0763403360759, 16.5
56000, -152209.38051383875, 45610.109375, -106599.27113883875, 298.4648803442731, 16.5
57000, -152306.41615837, 45912.2421875, -106394.17397087, 300.44198662545915, 16.5
58000, -152138.51601188563, 45479.34765625, -106659.16835563563, 297.6091976617466, 16.5
59000, -152641.14735954188, 45401.0546875, -107240.09267204188, 297.0968616496217, 16.5
