 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.433736495 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 1.0
AmoebaElecCharge: -0.09371 e
Potential Energy after reinitialization: -152269.52821891688 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152656.93349235438, 46176.6015625, -106480.33192985438, 302.1719098882722, 0
2000, -152376.84731071375, 44992.72265625, -107384.12465446375, 294.42480555245817, 16.6
3000, -152092.09828727625, 45742.2890625, -106349.80922477625, 299.3298419756797, 15.6
4000, -152274.32875602625, 46120.59375, -106153.73500602625, 301.8054041884345, 15.7
5000, -152554.25819938563, 46124.95703125, -106429.30116813563, 301.83395676666845, 15.5
6000, -151774.86220329188, 45723.66015625, -106051.20204704188, 299.20793754810774, 14.7
7000, -151991.78798454188, 45936.59375, -106055.19423454188, 300.60133915250526, 14.7
8000, -151634.49745719813, 45423.50390625, -106210.99355094813, 297.2437655593, 14.7
9000, -152899.87538688563, 45450.7578125, -107449.11757438563, 297.42211053543105, 14.7
10000, -152841.89198844813, 45073.34765625, -107768.54433219813, 294.9524019846418, 14.7
11000, -152393.86488883875, 45880.43359375, -106513.43129508875, 300.2338365408045, 14.7
12000, -152861.76772087, 46049.7109375, -106812.05678337, 301.3415589918064, 14.7
13000, -152739.90224235438, 45919.9609375, -106819.94130485438, 300.49249682652476, 14.7
14000, -152449.58852165125, 45545.8359375, -106903.75258415125, 298.0442857853996, 14.7
15000, -151966.93056266688, 45452.609375, -106514.32118766688, 297.43422684884456, 14.5
16000, -152554.38124626063, 46217.08984375, -106337.29140251063, 302.436858387283, 14.5
17000, -151952.40566032313, 45305.203125, -106647.20253532313, 296.46962515480953, 14.5
18000, -152355.8624474325, 45702.703125, -106653.1593224325, 299.0707982623197, 14.5
19000, -151879.34706657313, 45794.671875, -106084.67519157313, 299.6726262855432, 14.4
20000, -151397.52797477625, 45658.55859375, -105738.96938102625, 298.7819238785936, 14.4
21000, -151455.047017745, 45939.140625, -105515.906392745, 300.61800547390953, 14.4
22000, -151505.77797477625, 45662.53515625, -105843.24281852625, 298.80794583440576, 14.4
